customer_id,party_id,customer_number,customer_segment,lifecycle_stage,acquisition_date,risk_tier,engagement_score
CUST000154,PTY000154,CN-0000154,retail,active,2024-06-16,high,13.11
CUST000155,PTY000155,CN-0000155,retail,inactive,2022-07-08,low,33.74
CUST000156,PTY000156,CN-0000156,retail,active,2018-03-08,low,82.99
CUST000157,PTY000157,CN-0000157,affluent,active,2022-08-28,high,31.72
CUST000158,PTY000158,CN-0000158,small_business,prospect,2021-11-17,high,49.38
CUST000159,PTY000159,CN-0000159,small_business,active,2018-07-12,very_high,49.33
CUST000160,PTY000160,CN-0000160,retail,former,2025-03-10,high,93.77
CUST000161,PTY000161,CN-0000161,retail,active,2019-02-25,low,82.55
CUST000162,PTY000162,CN-0000162,retail,active,2019-07-23,very_high,22.63
CUST000163,PTY000163,CN-0000163,retail,lapsed,2018-12-27,high,81.61
CUST000164,PTY000164,CN-0000164,retail,lapsed,2024-01-11,low,25.97
CUST000165,PTY000165,CN-0000165,retail,prospect,2018-06-26,high,7.5
CUST000166,PTY000166,CN-0000166,affluent,inactive,2021-09-10,very_high,26.99
CUST000167,PTY000167,CN-0000167,retail,inactive,2019-11-29,very_high,11.99
CUST000168,PTY000168,CN-0000168,retail,former,2021-07-31,very_high,63.69
CUST000169,PTY000169,CN-0000169,retail,inactive,2025-06-30,medium,57.79
CUST000170,PTY000170,CN-0000170,small_business,active,2025-06-01,high,77.26
CUST000171,PTY000171,CN-0000171,retail,prospect,2023-06-01,high,76.62
CUST000172,PTY000172,CN-0000172,retail,active,2025-12-23,medium,65.95
CUST000173,PTY000173,CN-0000173,retail,lapsed,2026-03-31,low,7.51
CUST000174,PTY000174,CN-0000174,retail,active,2023-07-19,low,67.05
CUST000175,PTY000175,CN-0000175,small_business,active,2023-04-02,very_high,10.45
CUST000176,PTY000176,CN-0000176,affluent,former,2020-05-04,high,76.05
CUST000177,PTY000177,CN-0000177,affluent,active,2021-07-01,medium,84.78
CUST000178,PTY000178,CN-0000178,retail,active,2019-03-09,high,38.56
CUST000179,PTY000179,CN-0000179,affluent,inactive,2023-01-28,medium,78.0
CUST000180,PTY000180,CN-0000180,retail,active,2020-02-09,very_high,16.42
CUST000181,PTY000181,CN-0000181,affluent,lapsed,2021-06-12,low,14.73
CUST000182,PTY000182,CN-0000182,affluent,prospect,2019-03-15,medium,1.66
CUST000183,PTY000183,CN-0000183,retail,active,2023-03-03,low,47.62
CUST000184,PTY000184,CN-0000184,small_business,active,2023-12-15,high,11.83
CUST000185,PTY000185,CN-0000185,retail,active,2024-03-04,very_high,21.21
CUST000186,PTY000186,CN-0000186,affluent,active,2022-06-14,high,5.32
CUST000187,PTY000187,CN-0000187,small_business,prospect,2021-01-21,low,64.86
CUST000188,PTY000188,CN-0000188,small_business,active,2026-03-18,high,18.94
CUST000189,PTY000189,CN-0000189,affluent,active,2019-12-25,very_high,51.86
CUST000190,PTY000190,CN-0000190,affluent,prospect,2019-03-24,medium,95.9
CUST000191,PTY000191,CN-0000191,retail,prospect,2020-06-18,low,57.52
CUST000192,PTY000192,CN-0000192,retail,inactive,2020-09-04,low,27.55
CUST000193,PTY000193,CN-0000193,affluent,lapsed,2024-12-15,very_high,39.19
CUST000194,PTY000194,CN-0000194,retail,lapsed,2019-02-19,high,49.52
CUST000195,PTY000195,CN-0000195,retail,active,2019-12-02,high,70.59
CUST000196,PTY000196,CN-0000196,affluent,prospect,2021-03-25,low,18.51
CUST000197,PTY000197,CN-0000197,affluent,active,2025-11-09,high,85.26
CUST000198,PTY000198,CN-0000198,retail,active,2025-09-18,high,68.14
CUST000199,PTY000199,CN-0000199,retail,active,2019-11-14,very_high,14.18
CUST000200,PTY000200,CN-0000200,affluent,active,2018-02-22,very_high,33.41
CUST000201,PTY000201,CN-0000201,small_business,prospect,2019-12-29,medium,67.92
CUST000202,PTY000202,CN-0000202,affluent,active,2018-02-09,very_high,58.32
CUST000203,PTY000203,CN-0000203,retail,active,2023-06-24,low,4.52
CUST000204,PTY000204,CN-0000204,affluent,lapsed,2018-03-13,high,83.54
CUST000205,PTY000205,CN-0000205,affluent,active,2023-11-22,medium,77.53
CUST000206,PTY000206,CN-0000206,small_business,former,2019-02-14,high,45.26
CUST000207,PTY000207,CN-0000207,small_business,inactive,2026-03-29,high,66.34
CUST000208,PTY000208,CN-0000208,small_business,active,2020-11-04,low,82.77
CUST000209,PTY000209,CN-0000209,affluent,active,2021-05-18,very_high,11.28
CUST000210,PTY000210,CN-0000210,affluent,lapsed,2025-09-09,low,14.79
CUST000211,PTY000211,CN-0000211,retail,lapsed,2022-08-08,medium,35.72
CUST000212,PTY000212,CN-0000212,retail,inactive,2018-05-07,very_high,35.94
CUST000213,PTY000213,CN-0000213,retail,active,2026-05-07,very_high,63.87
CUST000214,PTY000214,CN-0000214,affluent,lapsed,2021-01-26,very_high,98.73
CUST000215,PTY000215,CN-0000215,retail,active,2023-11-29,high,88.8
CUST000216,PTY000216,CN-0000216,affluent,active,2022-05-21,high,30.93
CUST000217,PTY000217,CN-0000217,affluent,inactive,2018-06-18,high,83.42
CUST000218,PTY000218,CN-0000218,small_business,former,2019-05-19,very_high,56.67
CUST000219,PTY000219,CN-0000219,small_business,prospect,2021-11-22,low,49.89
CUST000220,PTY000220,CN-0000220,retail,active,2025-09-08,medium,52.32
CUST000221,PTY000221,CN-0000221,affluent,inactive,2021-04-01,medium,30.36
CUST000222,PTY000222,CN-0000222,retail,former,2021-03-26,high,1.56
CUST000223,PTY000223,CN-0000223,retail,active,2018-06-17,low,5.32
CUST000224,PTY000224,CN-0000224,retail,active,2021-06-06,high,66.03
CUST000225,PTY000225,CN-0000225,retail,active,2018-01-03,medium,35.02
CUST000226,PTY000226,CN-0000226,affluent,lapsed,2021-03-06,medium,95.37
CUST000227,PTY000227,CN-0000227,small_business,active,2025-12-31,medium,43.21
CUST000228,PTY000228,CN-0000228,small_business,active,2018-11-27,low,47.32
CUST000229,PTY000229,CN-0000229,retail,former,2021-12-23,very_high,42.26
CUST000230,PTY000230,CN-0000230,small_business,active,2019-02-06,high,17.33
CUST000231,PTY000231,CN-0000231,affluent,active,2022-11-21,medium,68.33
CUST000232,PTY000232,CN-0000232,small_business,active,2020-03-28,very_high,55.43
CUST000233,PTY000233,CN-0000233,small_business,prospect,2021-05-18,high,56.67
CUST000234,PTY000234,CN-0000234,small_business,inactive,2025-01-17,medium,37.6
CUST000235,PTY000235,CN-0000235,retail,active,2022-11-25,very_high,69.41
CUST000236,PTY000236,CN-0000236,affluent,lapsed,2023-08-26,high,46.84
CUST000237,PTY000237,CN-0000237,small_business,active,2022-10-18,very_high,46.13
CUST000238,PTY000238,CN-0000238,retail,former,2024-04-08,very_high,8.84
CUST000239,PTY000239,CN-0000239,affluent,active,2019-07-30,medium,58.03
CUST000240,PTY000240,CN-0000240,retail,inactive,2022-03-09,high,5.35
CUST000241,PTY000241,CN-0000241,retail,active,2022-05-28,low,46.28
CUST000242,PTY000242,CN-0000242,affluent,active,2026-07-23,low,8.47
CUST000243,PTY000243,CN-0000243,affluent,prospect,2021-01-11,high,59.43
CUST000244,PTY000244,CN-0000244,affluent,active,2021-04-05,high,86.43
CUST000245,PTY000245,CN-0000245,affluent,inactive,2019-05-13,low,70.16
CUST000246,PTY000246,CN-0000246,retail,inactive,2023-10-16,very_high,13.64
CUST000247,PTY000247,CN-0000247,affluent,former,2025-07-30,medium,30.09
CUST000248,PTY000248,CN-0000248,affluent,prospect,2021-06-27,very_high,62.37
CUST000249,PTY000249,CN-0000249,retail,prospect,2020-04-02,low,15.3
CUST000250,PTY000250,CN-0000250,affluent,prospect,2019-05-11,medium,20.43
CUST000251,PTY000251,CN-0000251,retail,former,2023-04-25,very_high,39.07
CUST000252,PTY000252,CN-0000252,small_business,active,2019-05-14,very_high,98.27
CUST000253,PTY000253,CN-0000253,affluent,active,2020-08-20,very_high,85.93
CUST000254,PTY000254,CN-0000254,retail,active,2024-12-02,medium,63.62
CUST000255,PTY000255,CN-0000255,retail,former,2020-01-27,medium,17.08
CUST000256,PTY000256,CN-0000256,affluent,inactive,2026-04-26,medium,47.62
CUST000257,PTY000257,CN-0000257,small_business,lapsed,2021-04-02,low,95.91
CUST000258,PTY000258,CN-0000258,small_business,lapsed,2023-07-13,high,39.12
CUST000259,PTY000259,CN-0000259,retail,active,2025-10-28,very_high,81.35
CUST000260,PTY000260,CN-0000260,retail,active,2019-08-30,very_high,12.01
CUST000261,PTY000261,CN-0000261,retail,inactive,2022-05-15,high,3.41
CUST000262,PTY000262,CN-0000262,affluent,inactive,2025-04-18,very_high,4.26
CUST000263,PTY000263,CN-0000263,retail,active,2021-12-23,very_high,27.69
CUST000264,PTY000264,CN-0000264,small_business,inactive,2019-10-11,medium,34.88
CUST000265,PTY000265,CN-0000265,affluent,active,2025-12-02,low,17.45
CUST000266,PTY000266,CN-0000266,small_business,lapsed,2019-09-13,high,45.95
CUST000267,PTY000267,CN-0000267,small_business,former,2019-07-28,high,92.35
CUST000268,PTY000268,CN-0000268,affluent,active,2018-10-07,very_high,96.26
CUST000269,PTY000269,CN-0000269,affluent,active,2024-10-17,high,12.94
CUST000270,PTY000270,CN-0000270,affluent,inactive,2021-08-20,high,58.45
CUST000271,PTY000271,CN-0000271,retail,prospect,2022-07-12,low,85.2
CUST000272,PTY000272,CN-0000272,retail,prospect,2019-10-14,low,49.94
CUST000273,PTY000273,CN-0000273,small_business,active,2025-08-14,medium,98.13
CUST000274,PTY000274,CN-0000274,retail,prospect,2026-03-20,medium,72.82
CUST000275,PTY000275,CN-0000275,small_business,prospect,2022-04-23,low,61.19
CUST000276,PTY000276,CN-0000276,retail,former,2019-04-14,low,44.15
CUST000277,PTY000277,CN-0000277,affluent,lapsed,2022-03-14,low,92.36
CUST000278,PTY000278,CN-0000278,retail,lapsed,2021-08-08,very_high,37.76
CUST000279,PTY000279,CN-0000279,affluent,inactive,2025-02-23,medium,19.57
CUST000280,PTY000280,CN-0000280,small_business,lapsed,2023-07-05,high,22.55
CUST000281,PTY000281,CN-0000281,retail,active,2026-04-28,medium,8.6
CUST000282,PTY000282,CN-0000282,affluent,lapsed,2018-04-10,low,20.35
CUST000283,PTY000283,CN-0000283,retail,active,2019-07-30,very_high,56.83
CUST000284,PTY000284,CN-0000284,small_business,active,2018-10-22,very_high,19.01
CUST000285,PTY000285,CN-0000285,affluent,former,2020-04-29,very_high,50.09
CUST000286,PTY000286,CN-0000286,affluent,inactive,2021-12-31,medium,80.16
CUST000287,PTY000287,CN-0000287,small_business,lapsed,2022-12-03,very_high,87.4
CUST000288,PTY000288,CN-0000288,retail,active,2024-05-20,high,10.09
CUST000289,PTY000289,CN-0000289,retail,prospect,2023-08-05,high,2.25
CUST000290,PTY000290,CN-0000290,small_business,active,2021-04-02,high,6.8
CUST000291,PTY000291,CN-0000291,small_business,prospect,2019-10-09,medium,85.32
CUST000292,PTY000292,CN-0000292,affluent,active,2024-11-08,very_high,61.86
CUST000293,PTY000293,CN-0000293,affluent,prospect,2024-02-15,very_high,93.69
CUST000294,PTY000294,CN-0000294,affluent,prospect,2020-12-13,low,33.8
CUST000295,PTY000295,CN-0000295,retail,active,2020-12-04,low,13.93
CUST000296,PTY000296,CN-0000296,affluent,active,2024-02-19,low,23.56
CUST000297,PTY000297,CN-0000297,affluent,inactive,2018-10-26,low,34.58
CUST000298,PTY000298,CN-0000298,small_business,inactive,2018-10-17,low,88.75
CUST000299,PTY000299,CN-0000299,retail,active,2023-05-16,low,10.41
CUST000300,PTY000300,CN-0000300,affluent,active,2023-07-28,high,43.15
CUST000301,PTY000301,CN-0000301,retail,prospect,2021-05-27,low,2.64
CUST000302,PTY000302,CN-0000302,affluent,inactive,2020-03-14,very_high,68.19
CUST000303,PTY000303,CN-0000303,retail,inactive,2026-04-11,very_high,5.21
CUST000304,PTY000304,CN-0000304,small_business,lapsed,2026-08-03,medium,42.97
CUST000305,PTY000305,CN-0000305,affluent,active,2022-10-15,low,43.8
CUST000306,PTY000306,CN-0000306,small_business,active,2024-11-26,medium,34.31
CUST000307,PTY000307,CN-0000307,retail,active,2018-08-26,low,58.86
CUST000308,PTY000308,CN-0000308,small_business,lapsed,2020-07-19,low,99.09
CUST000309,PTY000309,CN-0000309,affluent,active,2018-03-03,low,7.66
CUST000310,PTY000310,CN-0000310,small_business,active,2019-06-04,high,4.37
CUST000311,PTY000311,CN-0000311,affluent,lapsed,2021-12-03,medium,99.81
CUST000312,PTY000312,CN-0000312,affluent,active,2019-06-16,very_high,65.76
CUST000313,PTY000313,CN-0000313,retail,prospect,2025-05-13,high,93.84
CUST000314,PTY000314,CN-0000314,small_business,lapsed,2020-04-23,high,89.76
CUST000315,PTY000315,CN-0000315,small_business,lapsed,2020-06-21,high,94.14
CUST000316,PTY000316,CN-0000316,small_business,former,2024-03-08,medium,52.68
CUST000317,PTY000317,CN-0000317,small_business,lapsed,2020-12-31,low,5.4
CUST000318,PTY000318,CN-0000318,affluent,inactive,2022-08-10,very_high,27.98
CUST000319,PTY000319,CN-0000319,retail,former,2020-04-13,medium,30.49
CUST000320,PTY000320,CN-0000320,retail,prospect,2024-03-14,high,72.49
CUST000321,PTY000321,CN-0000321,retail,active,2019-08-05,very_high,64.99
CUST000322,PTY000322,CN-0000322,retail,prospect,2023-02-02,very_high,83.63
CUST000323,PTY000323,CN-0000323,small_business,inactive,2021-01-12,very_high,30.04
CUST000324,PTY000324,CN-0000324,retail,active,2018-12-13,very_high,49.54
CUST000325,PTY000325,CN-0000325,small_business,active,2022-04-17,low,22.44
CUST000326,PTY000326,CN-0000326,retail,lapsed,2022-04-03,very_high,53.25
CUST000327,PTY000327,CN-0000327,small_business,prospect,2025-05-29,high,93.72
CUST000328,PTY000328,CN-0000328,small_business,former,2024-10-29,high,81.02
CUST000329,PTY000329,CN-0000329,retail,former,2024-08-17,low,34.09
CUST000330,PTY000330,CN-0000330,small_business,former,2024-12-20,very_high,78.26
CUST000331,PTY000331,CN-0000331,retail,former,2026-04-01,low,55.33
CUST000332,PTY000332,CN-0000332,affluent,active,2026-02-02,very_high,42.38
CUST000333,PTY000333,CN-0000333,affluent,former,2026-01-24,high,16.25
CUST000334,PTY000334,CN-0000334,small_business,lapsed,2022-04-11,medium,13.19
CUST000335,PTY000335,CN-0000335,small_business,former,2018-03-04,high,8.55
CUST000336,PTY000336,CN-0000336,affluent,active,2020-10-20,high,57.11
CUST000337,PTY000337,CN-0000337,affluent,active,2018-06-08,high,26.87
CUST000338,PTY000338,CN-0000338,affluent,former,2020-10-23,low,12.43
CUST000339,PTY000339,CN-0000339,affluent,active,2024-05-17,high,84.76
CUST000340,PTY000340,CN-0000340,small_business,prospect,2022-12-23,very_high,0.89
CUST000341,PTY000341,CN-0000341,small_business,active,2018-06-01,medium,40.86
CUST000342,PTY000342,CN-0000342,retail,active,2024-07-01,high,95.33
CUST000343,PTY000343,CN-0000343,retail,active,2022-12-10,high,25.95
CUST000344,PTY000344,CN-0000344,retail,active,2023-07-21,medium,14.69
CUST000345,PTY000345,CN-0000345,affluent,prospect,2024-12-06,medium,11.44
CUST000346,PTY000346,CN-0000346,retail,lapsed,2018-06-07,very_high,57.99
CUST000347,PTY000347,CN-0000347,affluent,lapsed,2018-06-21,medium,6.08
CUST000348,PTY000348,CN-0000348,small_business,active,2026-01-05,low,67.84
CUST000349,PTY000349,CN-0000349,affluent,lapsed,2021-12-18,low,60.06
CUST000350,PTY000350,CN-0000350,retail,prospect,2021-12-03,very_high,11.32
CUST000351,PTY000351,CN-0000351,retail,active,2018-11-14,high,57.04
CUST000352,PTY000352,CN-0000352,small_business,prospect,2025-08-21,very_high,87.59
CUST000353,PTY000353,CN-0000353,retail,active,2019-08-10,high,33.5
CUST000354,PTY000354,CN-0000354,affluent,active,2022-07-30,very_high,94.25
CUST000355,PTY000355,CN-0000355,affluent,prospect,2021-04-19,medium,36.83
CUST000356,PTY000356,CN-0000356,retail,inactive,2021-04-06,low,10.62
CUST000357,PTY000357,CN-0000357,small_business,inactive,2020-05-16,high,93.99
CUST000358,PTY000358,CN-0000358,affluent,prospect,2022-04-01,medium,38.11
CUST000359,PTY000359,CN-0000359,retail,prospect,2025-04-13,medium,56.54
CUST000360,PTY000360,CN-0000360,affluent,inactive,2024-06-10,very_high,53.9
CUST000361,PTY000361,CN-0000361,affluent,former,2019-05-12,low,60.71
CUST000362,PTY000362,CN-0000362,affluent,inactive,2025-05-24,very_high,31.69
CUST000363,PTY000363,CN-0000363,affluent,active,2020-03-09,medium,32.87
CUST000364,PTY000364,CN-0000364,small_business,active,2026-08-11,very_high,31.48
CUST000365,PTY000365,CN-0000365,affluent,active,2019-04-18,very_high,73.28
CUST000366,PTY000366,CN-0000366,small_business,prospect,2022-08-07,high,56.05
CUST000367,PTY000367,CN-0000367,small_business,lapsed,2018-11-10,very_high,60.52
CUST000368,PTY000368,CN-0000368,small_business,active,2023-01-13,medium,92.57
CUST000369,PTY000369,CN-0000369,small_business,lapsed,2020-09-30,medium,60.55
CUST000370,PTY000370,CN-0000370,small_business,active,2021-03-21,low,8.15
CUST000371,PTY000371,CN-0000371,affluent,active,2022-09-21,very_high,63.26
CUST000372,PTY000372,CN-0000372,retail,active,2026-08-31,very_high,1.55
CUST000373,PTY000373,CN-0000373,small_business,active,2019-05-10,very_high,74.29
CUST000374,PTY000374,CN-0000374,retail,former,2019-06-02,very_high,2.39
CUST000375,PTY000375,CN-0000375,retail,active,2019-11-15,very_high,90.43
CUST000376,PTY000376,CN-0000376,retail,active,2021-12-22,medium,71.2
CUST000377,PTY000377,CN-0000377,small_business,former,2019-05-03,high,59.15
CUST000378,PTY000378,CN-0000378,retail,lapsed,2024-11-30,low,7.38
CUST000379,PTY000379,CN-0000379,small_business,active,2021-12-24,very_high,74.07
CUST000380,PTY000380,CN-0000380,small_business,former,2022-11-20,very_high,70.01
CUST000381,PTY000381,CN-0000381,retail,lapsed,2026-03-24,low,15.23
CUST000382,PTY000382,CN-0000382,affluent,inactive,2018-02-01,high,67.39
CUST000383,PTY000383,CN-0000383,small_business,active,2023-02-01,very_high,17.67
CUST000384,PTY000384,CN-0000384,affluent,active,2026-02-07,low,23.23
CUST000385,PTY000385,CN-0000385,small_business,prospect,2023-07-14,very_high,28.53
CUST000386,PTY000386,CN-0000386,small_business,former,2022-04-23,medium,95.35
CUST000387,PTY000387,CN-0000387,affluent,lapsed,2018-06-21,medium,43.05
CUST000388,PTY000388,CN-0000388,affluent,inactive,2021-02-13,high,9.95
CUST000389,PTY000389,CN-0000389,retail,prospect,2021-03-12,high,27.38
CUST000390,PTY000390,CN-0000390,retail,active,2022-12-03,high,93.92
CUST000391,PTY000391,CN-0000391,affluent,former,2020-11-28,low,92.45
CUST000392,PTY000392,CN-0000392,small_business,active,2025-06-22,low,20.68
CUST000393,PTY000393,CN-0000393,retail,prospect,2023-09-15,low,95.99
CUST000394,PTY000394,CN-0000394,affluent,former,2024-01-21,medium,0.67
CUST000395,PTY000395,CN-0000395,small_business,active,2018-04-16,high,94.18
CUST000396,PTY000396,CN-0000396,small_business,lapsed,2024-05-28,very_high,52.09
CUST000397,PTY000397,CN-0000397,small_business,prospect,2023-02-02,low,44.44
CUST000398,PTY000398,CN-0000398,small_business,active,2022-11-06,low,86.45
CUST000399,PTY000399,CN-0000399,affluent,lapsed,2021-02-14,low,96.84
CUST000400,PTY000400,CN-0000400,affluent,former,2018-11-20,medium,72.74
CUST000401,PTY000401,CN-0000401,retail,inactive,2021-09-01,high,27.61
CUST000402,PTY000402,CN-0000402,affluent,inactive,2025-01-27,low,70.68
CUST000403,PTY000403,CN-0000403,retail,active,2021-07-13,low,93.24
CUST000404,PTY000404,CN-0000404,small_business,active,2023-11-06,low,94.92
CUST000405,PTY000405,CN-0000405,retail,active,2025-01-13,medium,58.63
CUST000406,PTY000406,CN-0000406,affluent,active,2020-06-20,high,47.01
CUST000407,PTY000407,CN-0000407,retail,lapsed,2023-06-08,very_high,28.26
CUST000408,PTY000408,CN-0000408,affluent,prospect,2020-03-24,medium,0.32
CUST000409,PTY000409,CN-0000409,small_business,inactive,2018-10-03,medium,71.0
CUST000410,PTY000410,CN-0000410,small_business,lapsed,2018-06-08,high,61.34
CUST000411,PTY000411,CN-0000411,affluent,active,2025-01-28,high,48.42
CUST000412,PTY000412,CN-0000412,retail,active,2025-05-14,medium,87.5
CUST000413,PTY000413,CN-0000413,small_business,active,2025-06-29,very_high,59.78
CUST000414,PTY000414,CN-0000414,small_business,active,2024-02-04,low,21.89
CUST000415,PTY000415,CN-0000415,small_business,active,2026-06-20,very_high,32.54
CUST000416,PTY000416,CN-0000416,small_business,prospect,2025-06-06,medium,46.47
CUST000417,PTY000417,CN-0000417,affluent,prospect,2021-07-30,high,69.7
CUST000418,PTY000418,CN-0000418,retail,former,2025-11-26,very_high,84.01
CUST000419,PTY000419,CN-0000419,affluent,active,2023-06-27,medium,2.9
CUST000420,PTY000420,CN-0000420,affluent,active,2021-01-02,very_high,6.08
CUST000421,PTY000421,CN-0000421,small_business,active,2026-08-28,high,41.12
CUST000422,PTY000422,CN-0000422,small_business,active,2022-12-16,high,91.24
CUST000423,PTY000423,CN-0000423,small_business,lapsed,2021-01-04,medium,33.98
CUST000424,PTY000424,CN-0000424,small_business,active,2018-07-06,very_high,22.13
CUST000425,PTY000425,CN-0000425,affluent,active,2019-11-14,low,94.79
CUST000426,PTY000426,CN-0000426,affluent,active,2024-11-17,medium,60.5
CUST000427,PTY000427,CN-0000427,affluent,prospect,2018-03-23,very_high,9.03
CUST000428,PTY000428,CN-0000428,small_business,active,2025-11-26,low,65.49
CUST000429,PTY000429,CN-0000429,retail,active,2023-10-26,medium,98.52
CUST000430,PTY000430,CN-0000430,small_business,former,2024-01-04,medium,29.02
CUST000431,PTY000431,CN-0000431,small_business,active,2019-10-24,very_high,21.56
CUST000432,PTY000432,CN-0000432,retail,prospect,2026-03-23,low,84.55
CUST000433,PTY000433,CN-0000433,affluent,prospect,2026-06-20,very_high,79.13
CUST000434,PTY000434,CN-0000434,retail,active,2018-06-23,high,2.42
CUST000435,PTY000435,CN-0000435,affluent,active,2025-01-30,low,27.25
CUST000436,PTY000436,CN-0000436,small_business,lapsed,2019-05-22,very_high,13.12
CUST000437,PTY000437,CN-0000437,small_business,former,2026-04-22,low,7.65
CUST000438,PTY000438,CN-0000438,affluent,lapsed,2023-08-29,very_high,2.02
CUST000439,PTY000439,CN-0000439,affluent,inactive,2026-04-30,medium,9.56
CUST000440,PTY000440,CN-0000440,small_business,active,2024-08-06,high,78.48
CUST000441,PTY000441,CN-0000441,affluent,lapsed,2022-10-08,low,30.22
CUST000442,PTY000442,CN-0000442,retail,prospect,2023-02-23,high,96.93
CUST000443,PTY000443,CN-0000443,small_business,active,2024-06-18,high,42.95
CUST000444,PTY000444,CN-0000444,small_business,inactive,2020-06-29,high,48.33
CUST000445,PTY000445,CN-0000445,affluent,inactive,2025-11-18,medium,38.24
CUST000446,PTY000446,CN-0000446,affluent,active,2023-07-29,high,76.27
CUST000447,PTY000447,CN-0000447,retail,active,2026-01-05,medium,57.79
CUST000448,PTY000448,CN-0000448,small_business,former,2018-04-12,medium,44.71
CUST000449,PTY000449,CN-0000449,affluent,prospect,2023-05-07,high,33.24
CUST000450,PTY000450,CN-0000450,retail,prospect,2025-01-24,medium,20.77
CUST000451,PTY000451,CN-0000451,affluent,active,2023-06-30,low,14.13
CUST000452,PTY000452,CN-0000452,small_business,inactive,2024-11-30,medium,5.89
