agent_id,party_id,agent_number,license_state,channel,territory_code,appointment_date,status
AGT00090,PTY005090,AN-000090,NH,independent,TERR-38,2016-04-26,active
AGT00091,PTY005091,AN-000091,TX,partner,TERR-33,2020-07-12,terminated
AGT00092,PTY005092,AN-000092,MO,broker,TERR-10,2020-10-19,inactive
AGT00093,PTY005093,AN-000093,HI,independent,TERR-16,2023-01-07,inactive
AGT00094,PTY005094,AN-000094,PW,direct,TERR-38,2017-01-13,active
AGT00095,PTY005095,AN-000095,WA,broker,TERR-22,2024-04-15,active
AGT00096,PTY005096,AN-000096,SC,partner,TERR-23,2022-12-12,inactive
AGT00097,PTY005097,AN-000097,MN,exclusive,TERR-12,2026-05-16,inactive
AGT00098,PTY005098,AN-000098,NY,exclusive,TERR-32,2019-05-01,active
AGT00099,PTY005099,AN-000099,CT,direct,TERR-07,2018-03-23,terminated
AGT00100,PTY005100,AN-000100,OR,independent,TERR-10,2020-02-16,active
AGT00101,PTY005101,AN-000101,IL,independent,TERR-14,2015-07-13,terminated
AGT00102,PTY005102,AN-000102,IA,direct,TERR-09,2019-09-06,inactive
AGT00103,PTY005103,AN-000103,MO,exclusive,TERR-30,2023-09-10,inactive
AGT00104,PTY005104,AN-000104,WY,exclusive,TERR-18,2021-01-25,active
AGT00105,PTY005105,AN-000105,CO,direct,TERR-22,2021-03-28,active
AGT00106,PTY005106,AN-000106,SC,exclusive,TERR-11,2017-03-24,terminated
AGT00107,PTY005107,AN-000107,CO,independent,TERR-33,2023-06-22,active
AGT00108,PTY005108,AN-000108,OR,exclusive,TERR-23,2017-10-02,active
AGT00109,PTY005109,AN-000109,KS,independent,TERR-35,2018-01-17,terminated
AGT00110,PTY005110,AN-000110,LA,exclusive,TERR-31,2018-08-19,active
AGT00111,PTY005111,AN-000111,IA,partner,TERR-23,2022-08-05,active
AGT00112,PTY005112,AN-000112,VA,direct,TERR-27,2018-01-09,inactive
AGT00113,PTY005113,AN-000113,FL,broker,TERR-12,2025-10-19,active
AGT00114,PTY005114,AN-000114,VA,broker,TERR-17,2019-09-18,active
AGT00115,PTY005115,AN-000115,AS,direct,TERR-13,2020-02-21,active
AGT00116,PTY005116,AN-000116,PR,partner,TERR-14,2024-11-17,terminated
AGT00117,PTY005117,AN-000117,TX,partner,TERR-12,2024-05-19,active
AGT00118,PTY005118,AN-000118,AL,exclusive,TERR-03,2022-09-24,active
AGT00119,PTY005119,AN-000119,RI,direct,TERR-01,2018-02-04,inactive
AGT00120,PTY005120,AN-000120,FM,independent,TERR-05,2024-11-21,active
AGT00121,PTY005121,AN-000121,OR,broker,TERR-34,2019-05-06,inactive
AGT00122,PTY005122,AN-000122,NM,broker,TERR-14,2023-08-01,inactive
AGT00123,PTY005123,AN-000123,ID,broker,TERR-23,2016-07-13,inactive
AGT00124,PTY005124,AN-000124,KY,exclusive,TERR-02,2020-07-29,active
AGT00125,PTY005125,AN-000125,RI,exclusive,TERR-36,2019-01-26,terminated
AGT00126,PTY005126,AN-000126,MO,exclusive,TERR-36,2019-05-13,inactive
AGT00127,PTY005127,AN-000127,IN,exclusive,TERR-37,2019-12-24,active
AGT00128,PTY005128,AN-000128,ME,direct,TERR-40,2016-02-28,active
AGT00129,PTY005129,AN-000129,OH,direct,TERR-29,2020-03-23,active
AGT00130,PTY005130,AN-000130,FL,independent,TERR-40,2017-05-13,inactive
AGT00131,PTY005131,AN-000131,MO,broker,TERR-06,2019-04-29,active
AGT00132,PTY005132,AN-000132,MA,broker,TERR-04,2026-08-07,active
AGT00133,PTY005133,AN-000133,WI,broker,TERR-39,2025-03-07,active
AGT00134,PTY005134,AN-000134,AZ,direct,TERR-35,2018-05-08,active
AGT00135,PTY005135,AN-000135,WY,partner,TERR-04,2015-01-03,inactive
AGT00136,PTY005136,AN-000136,MP,independent,TERR-02,2018-05-19,terminated
AGT00137,PTY005137,AN-000137,UT,exclusive,TERR-11,2025-09-17,active
AGT00138,PTY005138,AN-000138,NV,broker,TERR-12,2021-04-06,active
AGT00139,PTY005139,AN-000139,NC,partner,TERR-27,2022-04-02,active
AGT00140,PTY005140,AN-000140,AS,independent,TERR-14,2017-12-12,active
AGT00141,PTY005141,AN-000141,NE,partner,TERR-40,2022-05-09,terminated
AGT00142,PTY005142,AN-000142,IN,broker,TERR-08,2025-06-02,inactive
AGT00143,PTY005143,AN-000143,MT,direct,TERR-40,2023-02-03,active
AGT00144,PTY005144,AN-000144,SD,independent,TERR-13,2019-06-08,active
AGT00145,PTY005145,AN-000145,NE,direct,TERR-01,2016-04-09,terminated
AGT00146,PTY005146,AN-000146,PW,exclusive,TERR-30,2021-05-07,active
AGT00147,PTY005147,AN-000147,ME,independent,TERR-18,2015-04-07,active
AGT00148,PTY005148,AN-000148,OK,exclusive,TERR-04,2019-12-16,inactive
AGT00149,PTY005149,AN-000149,LA,partner,TERR-28,2026-07-06,inactive
AGT00150,PTY005150,AN-000150,FM,partner,TERR-32,2022-11-03,active
AGT00151,PTY005151,AN-000151,AR,partner,TERR-22,2022-08-22,active
AGT00152,PTY005152,AN-000152,CA,partner,TERR-07,2022-08-07,active
AGT00153,PTY005153,AN-000153,OR,exclusive,TERR-19,2022-07-09,terminated
AGT00154,PTY005154,AN-000154,IN,independent,TERR-16,2024-10-25,inactive
AGT00155,PTY005155,AN-000155,ME,partner,TERR-19,2024-03-31,inactive
AGT00156,PTY005156,AN-000156,NY,direct,TERR-12,2017-11-14,terminated
AGT00157,PTY005157,AN-000157,PW,broker,TERR-07,2024-08-17,terminated
AGT00158,PTY005158,AN-000158,KS,broker,TERR-09,2017-10-19,active
AGT00159,PTY005159,AN-000159,KS,independent,TERR-36,2021-12-01,active
AGT00160,PTY005160,AN-000160,NH,exclusive,TERR-17,2022-04-07,inactive
AGT00161,PTY005161,AN-000161,NM,exclusive,TERR-32,2018-04-12,inactive
AGT00162,PTY005162,AN-000162,FM,independent,TERR-19,2020-11-06,terminated
AGT00163,PTY005163,AN-000163,IA,partner,TERR-19,2019-07-07,active
AGT00164,PTY005164,AN-000164,MD,direct,TERR-29,2024-07-19,active
AGT00165,PTY005165,AN-000165,WA,direct,TERR-36,2015-10-02,terminated
AGT00166,PTY005166,AN-000166,ND,partner,TERR-33,2024-05-29,active
AGT00167,PTY005167,AN-000167,OR,direct,TERR-18,2022-01-21,terminated
AGT00168,PTY005168,AN-000168,VI,exclusive,TERR-04,2016-09-09,inactive
AGT00169,PTY005169,AN-000169,ID,direct,TERR-10,2024-10-17,inactive
AGT00170,PTY005170,AN-000170,NV,exclusive,TERR-33,2021-07-01,inactive
AGT00171,PTY005171,AN-000171,UT,partner,TERR-29,2020-04-18,terminated
AGT00172,PTY005172,AN-000172,MP,independent,TERR-30,2022-02-10,inactive
AGT00173,PTY005173,AN-000173,OH,exclusive,TERR-11,2016-03-05,active
AGT00174,PTY005174,AN-000174,HI,exclusive,TERR-28,2019-10-09,active
AGT00175,PTY005175,AN-000175,GA,partner,TERR-34,2022-12-29,active
AGT00176,PTY005176,AN-000176,MT,independent,TERR-29,2020-10-20,terminated
AGT00177,PTY005177,AN-000177,WA,broker,TERR-29,2015-04-30,active
AGT00178,PTY005178,AN-000178,MT,exclusive,TERR-31,2021-07-26,terminated
AGT00179,PTY005179,AN-000179,VI,direct,TERR-23,2019-07-04,active
AGT00180,PTY005180,AN-000180,AK,direct,TERR-24,2026-06-01,inactive
AGT00181,PTY005181,AN-000181,RI,direct,TERR-38,2019-01-01,active
AGT00182,PTY005182,AN-000182,LA,independent,TERR-11,2016-02-16,inactive
AGT00183,PTY005183,AN-000183,PR,broker,TERR-32,2019-09-03,active
AGT00184,PTY005184,AN-000184,TX,broker,TERR-25,2018-02-28,inactive
AGT00185,PTY005185,AN-000185,VA,exclusive,TERR-10,2019-02-21,active
AGT00186,PTY005186,AN-000186,NE,exclusive,TERR-36,2015-02-09,active
AGT00187,PTY005187,AN-000187,NM,partner,TERR-37,2025-04-08,active
AGT00188,PTY005188,AN-000188,IL,broker,TERR-15,2017-08-01,active
AGT00189,PTY005189,AN-000189,MI,independent,TERR-22,2021-11-03,inactive
AGT00190,PTY005190,AN-000190,GA,exclusive,TERR-01,2023-07-16,terminated
AGT00191,PTY005191,AN-000191,IN,broker,TERR-32,2015-01-07,terminated
AGT00192,PTY005192,AN-000192,PA,direct,TERR-39,2019-10-10,active
AGT00193,PTY005193,AN-000193,MA,exclusive,TERR-13,2019-08-11,active
AGT00194,PTY005194,AN-000194,WY,independent,TERR-26,2016-08-22,active
AGT00195,PTY005195,AN-000195,AZ,independent,TERR-38,2019-03-29,terminated
AGT00196,PTY005196,AN-000196,MI,direct,TERR-35,2022-04-01,active
AGT00197,PTY005197,AN-000197,OK,direct,TERR-02,2024-12-14,inactive
AGT00198,PTY005198,AN-000198,MI,direct,TERR-03,2015-12-23,active
AGT00199,PTY005199,AN-000199,WA,broker,TERR-25,2026-03-09,active
AGT00200,PTY005200,AN-000200,ID,independent,TERR-16,2021-03-27,inactive
AGT00201,PTY005201,AN-000201,UT,exclusive,TERR-18,2015-09-15,terminated
AGT00202,PTY005202,AN-000202,IA,direct,TERR-20,2016-10-11,active
AGT00203,PTY005203,AN-000203,OR,direct,TERR-36,2019-06-02,inactive
AGT00204,PTY005204,AN-000204,WY,direct,TERR-16,2016-11-06,terminated
AGT00205,PTY005205,AN-000205,UT,direct,TERR-12,2025-04-13,active
AGT00206,PTY005206,AN-000206,PR,direct,TERR-32,2023-01-09,active
AGT00207,PTY005207,AN-000207,IN,broker,TERR-17,2015-02-20,active
AGT00208,PTY005208,AN-000208,HI,direct,TERR-28,2026-04-02,active
AGT00209,PTY005209,AN-000209,MI,broker,TERR-35,2018-05-07,inactive
AGT00210,PTY005210,AN-000210,IA,exclusive,TERR-18,2021-11-24,active
AGT00211,PTY005211,AN-000211,DE,partner,TERR-24,2025-12-20,active
AGT00212,PTY005212,AN-000212,KY,broker,TERR-07,2016-06-04,terminated
AGT00213,PTY005213,AN-000213,MD,partner,TERR-31,2026-04-14,active
AGT00214,PTY005214,AN-000214,IN,independent,TERR-17,2024-05-19,terminated
AGT00215,PTY005215,AN-000215,MT,exclusive,TERR-11,2018-11-10,active
AGT00216,PTY005216,AN-000216,MA,independent,TERR-37,2019-08-06,terminated
AGT00217,PTY005217,AN-000217,VA,exclusive,TERR-21,2018-07-28,terminated
AGT00218,PTY005218,AN-000218,NE,exclusive,TERR-30,2015-07-15,active
AGT00219,PTY005219,AN-000219,TX,independent,TERR-01,2019-09-30,active
AGT00220,PTY005220,AN-000220,AZ,partner,TERR-17,2021-02-15,active
AGT00221,PTY005221,AN-000221,FM,direct,TERR-31,2024-06-01,active
AGT00222,PTY005222,AN-000222,VA,broker,TERR-08,2023-02-24,inactive
AGT00223,PTY005223,AN-000223,TX,direct,TERR-01,2023-07-09,active
AGT00224,PTY005224,AN-000224,SC,direct,TERR-36,2022-01-29,terminated
AGT00225,PTY005225,AN-000225,FM,partner,TERR-06,2020-03-04,active
AGT00226,PTY005226,AN-000226,PW,broker,TERR-24,2024-01-06,inactive
AGT00227,PTY005227,AN-000227,AL,direct,TERR-29,2023-12-27,inactive
AGT00228,PTY005228,AN-000228,AS,direct,TERR-28,2023-05-10,inactive
AGT00229,PTY005229,AN-000229,AK,broker,TERR-31,2023-12-28,inactive
AGT00230,PTY005230,AN-000230,NJ,partner,TERR-23,2016-01-19,active
AGT00231,PTY005231,AN-000231,NC,partner,TERR-22,2015-03-10,active
AGT00232,PTY005232,AN-000232,MH,broker,TERR-22,2024-10-09,active
AGT00233,PTY005233,AN-000233,FM,exclusive,TERR-32,2019-02-24,active
AGT00234,PTY005234,AN-000234,GU,broker,TERR-37,2016-05-23,terminated
AGT00235,PTY005235,AN-000235,MP,direct,TERR-34,2026-08-25,active
AGT00236,PTY005236,AN-000236,ID,direct,TERR-10,2026-03-30,inactive
AGT00237,PTY005237,AN-000237,HI,broker,TERR-18,2023-02-01,active
AGT00238,PTY005238,AN-000238,NV,exclusive,TERR-28,2018-09-26,active
AGT00239,PTY005239,AN-000239,DE,exclusive,TERR-27,2023-02-11,terminated
AGT00240,PTY005240,AN-000240,GU,partner,TERR-35,2018-10-26,inactive
AGT00241,PTY005241,AN-000241,FL,partner,TERR-28,2020-03-16,active
AGT00242,PTY005242,AN-000242,MI,exclusive,TERR-25,2015-10-12,inactive
AGT00243,PTY005243,AN-000243,AS,broker,TERR-27,2018-02-18,inactive
AGT00244,PTY005244,AN-000244,MS,partner,TERR-03,2019-07-15,active
AGT00245,PTY005245,AN-000245,NM,exclusive,TERR-17,2018-08-21,active
AGT00246,PTY005246,AN-000246,FL,independent,TERR-06,2016-03-31,terminated
AGT00247,PTY005247,AN-000247,VI,partner,TERR-16,2019-04-05,active
AGT00248,PTY005248,AN-000248,WY,exclusive,TERR-07,2015-06-12,active
AGT00249,PTY005249,AN-000249,MD,broker,TERR-02,2026-05-27,inactive
AGT00250,PTY005250,AN-000250,MO,broker,TERR-33,2022-12-07,terminated
AGT00251,PTY005251,AN-000251,NY,broker,TERR-34,2022-04-03,inactive
AGT00252,PTY005252,AN-000252,CO,broker,TERR-09,2022-03-04,active
AGT00253,PTY005253,AN-000253,ND,independent,TERR-37,2022-12-22,inactive
AGT00254,PTY005254,AN-000254,MD,broker,TERR-05,2017-05-04,active
AGT00255,PTY005255,AN-000255,ID,direct,TERR-39,2019-04-29,inactive
AGT00256,PTY005256,AN-000256,DE,broker,TERR-30,2020-09-03,terminated
AGT00257,PTY005257,AN-000257,VT,broker,TERR-05,2019-09-26,inactive
AGT00258,PTY005258,AN-000258,TX,partner,TERR-30,2019-06-25,active
AGT00259,PTY005259,AN-000259,UT,broker,TERR-23,2020-06-01,inactive
AGT00260,PTY005260,AN-000260,CA,partner,TERR-28,2024-07-07,active
AGT00261,PTY005261,AN-000261,NC,partner,TERR-37,2019-07-24,active
AGT00262,PTY005262,AN-000262,IA,broker,TERR-05,2024-10-22,inactive
AGT00263,PTY005263,AN-000263,TN,broker,TERR-25,2018-02-27,active
AGT00264,PTY005264,AN-000264,DC,partner,TERR-40,2017-10-01,terminated
AGT00265,PTY005265,AN-000265,NM,direct,TERR-09,2017-06-27,active
AGT00266,PTY005266,AN-000266,WA,partner,TERR-20,2024-07-10,inactive
AGT00267,PTY005267,AN-000267,LA,independent,TERR-38,2024-06-10,active
AGT00268,PTY005268,AN-000268,WY,partner,TERR-19,2023-10-28,active
AGT00269,PTY005269,AN-000269,WV,partner,TERR-24,2024-09-05,active
AGT00270,PTY005270,AN-000270,MI,partner,TERR-30,2025-11-19,active
AGT00271,PTY005271,AN-000271,MI,direct,TERR-37,2024-09-26,terminated
AGT00272,PTY005272,AN-000272,ID,exclusive,TERR-01,2016-02-03,active
AGT00273,PTY005273,AN-000273,SC,exclusive,TERR-39,2026-02-02,active
AGT00274,PTY005274,AN-000274,OR,independent,TERR-01,2022-01-06,active
AGT00275,PTY005275,AN-000275,CA,independent,TERR-07,2025-03-09,active
AGT00276,PTY005276,AN-000276,NE,broker,TERR-05,2017-10-14,terminated
AGT00277,PTY005277,AN-000277,KY,broker,TERR-23,2015-12-06,inactive
AGT00278,PTY005278,AN-000278,FM,broker,TERR-18,2018-11-06,inactive
AGT00279,PTY005279,AN-000279,PR,independent,TERR-03,2019-02-07,active
AGT00280,PTY005280,AN-000280,DE,broker,TERR-28,2023-10-06,inactive
AGT00281,PTY005281,AN-000281,IL,independent,TERR-39,2019-11-14,active
AGT00282,PTY005282,AN-000282,FM,exclusive,TERR-34,2022-11-30,active
AGT00283,PTY005283,AN-000283,DE,independent,TERR-09,2021-06-16,inactive
AGT00284,PTY005284,AN-000284,PW,broker,TERR-16,2017-11-16,terminated
AGT00285,PTY005285,AN-000285,CA,broker,TERR-01,2017-01-18,active
AGT00286,PTY005286,AN-000286,SC,direct,TERR-21,2016-03-15,active
AGT00287,PTY005287,AN-000287,VT,exclusive,TERR-18,2021-05-14,active
AGT00288,PTY005288,AN-000288,MS,independent,TERR-19,2016-05-17,terminated
AGT00289,PTY005289,AN-000289,KS,independent,TERR-23,2021-09-03,active
AGT00290,PTY005290,AN-000290,MD,broker,TERR-24,2025-12-10,active
AGT00291,PTY005291,AN-000291,RI,independent,TERR-12,2019-10-06,terminated
AGT00292,PTY005292,AN-000292,WI,partner,TERR-37,2016-03-19,terminated
AGT00293,PTY005293,AN-000293,NV,exclusive,TERR-09,2025-06-11,active
AGT00294,PTY005294,AN-000294,SD,exclusive,TERR-20,2021-01-19,active
AGT00295,PTY005295,AN-000295,PR,exclusive,TERR-40,2016-12-05,active
AGT00296,PTY005296,AN-000296,DE,direct,TERR-07,2025-07-01,terminated
AGT00297,PTY005297,AN-000297,DE,independent,TERR-22,2018-11-25,active
AGT00298,PTY005298,AN-000298,NH,direct,TERR-31,2017-11-24,active
AGT00299,PTY005299,AN-000299,KS,direct,TERR-23,2025-12-24,active
AGT00300,PTY005300,AN-000300,MH,direct,TERR-26,2020-10-08,active
AGT00301,PTY005301,AN-000301,OK,independent,TERR-29,2024-10-24,active
AGT00302,PTY005302,AN-000302,CT,independent,TERR-22,2025-09-02,active
AGT00303,PTY005303,AN-000303,DE,partner,TERR-07,2021-12-14,active
AGT00304,PTY005304,AN-000304,OH,exclusive,TERR-12,2025-07-02,inactive
AGT00305,PTY005305,AN-000305,KS,direct,TERR-07,2024-02-11,active
AGT00306,PTY005306,AN-000306,VT,partner,TERR-14,2020-07-16,terminated
AGT00307,PTY005307,AN-000307,MA,partner,TERR-18,2017-11-10,active
AGT00308,PTY005308,AN-000308,CA,exclusive,TERR-09,2025-05-18,active
AGT00309,PTY005309,AN-000309,AS,exclusive,TERR-07,2022-10-03,active
AGT00310,PTY005310,AN-000310,UT,independent,TERR-16,2020-09-17,terminated
AGT00311,PTY005311,AN-000311,DC,direct,TERR-11,2016-02-19,inactive
AGT00312,PTY005312,AN-000312,ND,partner,TERR-12,2022-05-31,active
AGT00313,PTY005313,AN-000313,OH,direct,TERR-13,2025-01-05,active
AGT00314,PTY005314,AN-000314,CA,independent,TERR-39,2016-07-26,terminated
AGT00315,PTY005315,AN-000315,MT,independent,TERR-29,2015-12-22,active
AGT00316,PTY005316,AN-000316,SD,independent,TERR-29,2017-06-17,active
AGT00317,PTY005317,AN-000317,CO,partner,TERR-24,2020-06-08,active
AGT00318,PTY005318,AN-000318,IN,exclusive,TERR-19,2025-05-12,active
AGT00319,PTY005319,AN-000319,IN,exclusive,TERR-27,2016-11-21,active
AGT00320,PTY005320,AN-000320,MI,exclusive,TERR-26,2018-12-23,active
AGT00321,PTY005321,AN-000321,OK,exclusive,TERR-01,2016-12-28,active
AGT00322,PTY005322,AN-000322,OR,independent,TERR-26,2020-08-21,active
AGT00323,PTY005323,AN-000323,IL,direct,TERR-18,2019-11-02,active
AGT00324,PTY005324,AN-000324,OR,independent,TERR-11,2020-08-18,terminated
AGT00325,PTY005325,AN-000325,CT,partner,TERR-06,2024-05-20,active
AGT00326,PTY005326,AN-000326,WV,independent,TERR-01,2018-04-22,active
AGT00327,PTY005327,AN-000327,RI,independent,TERR-11,2025-05-24,inactive
AGT00328,PTY005328,AN-000328,LA,partner,TERR-16,2023-12-05,active
AGT00329,PTY005329,AN-000329,MH,direct,TERR-33,2018-07-11,active
AGT00330,PTY005330,AN-000330,NC,direct,TERR-35,2026-05-18,active
AGT00331,PTY005331,AN-000331,NM,exclusive,TERR-04,2025-10-26,terminated
AGT00332,PTY005332,AN-000332,GA,independent,TERR-35,2019-11-24,active
AGT00333,PTY005333,AN-000333,CO,exclusive,TERR-01,2019-11-22,active
AGT00334,PTY005334,AN-000334,FM,exclusive,TERR-28,2015-12-22,active
AGT00335,PTY005335,AN-000335,PR,broker,TERR-33,2018-02-25,inactive
AGT00336,PTY005336,AN-000336,FL,direct,TERR-22,2025-09-03,active
AGT00337,PTY005337,AN-000337,FM,broker,TERR-36,2024-01-11,inactive
AGT00338,PTY005338,AN-000338,DE,direct,TERR-11,2017-09-14,terminated
AGT00339,PTY005339,AN-000339,TN,direct,TERR-02,2021-12-06,active
AGT00340,PTY005340,AN-000340,NC,broker,TERR-27,2021-06-27,active
AGT00341,PTY005341,AN-000341,MN,independent,TERR-19,2019-12-10,inactive
AGT00342,PTY005342,AN-000342,PA,direct,TERR-34,2022-12-07,active
AGT00343,PTY005343,AN-000343,DE,broker,TERR-19,2016-06-16,inactive
AGT00344,PTY005344,AN-000344,OR,broker,TERR-08,2019-07-03,inactive
AGT00345,PTY005345,AN-000345,CT,direct,TERR-14,2022-01-04,active
AGT00346,PTY005346,AN-000346,IA,partner,TERR-24,2016-07-10,active
AGT00347,PTY005347,AN-000347,MP,direct,TERR-37,2026-03-17,inactive
AGT00348,PTY005348,AN-000348,AZ,partner,TERR-24,2023-01-19,terminated
AGT00349,PTY005349,AN-000349,IL,broker,TERR-27,2024-02-28,active
AGT00350,PTY005350,AN-000350,CO,independent,TERR-15,2015-12-09,inactive
AGT00351,PTY005351,AN-000351,GU,independent,TERR-12,2022-01-22,terminated
AGT00352,PTY005352,AN-000352,WA,broker,TERR-34,2023-11-12,active
AGT00353,PTY005353,AN-000353,IN,exclusive,TERR-01,2018-02-18,terminated
AGT00354,PTY005354,AN-000354,OR,independent,TERR-09,2018-08-01,active
AGT00355,PTY005355,AN-000355,RI,broker,TERR-22,2017-01-28,active
AGT00356,PTY005356,AN-000356,WI,partner,TERR-24,2025-10-06,active
AGT00357,PTY005357,AN-000357,VT,independent,TERR-15,2025-03-01,inactive
AGT00358,PTY005358,AN-000358,HI,direct,TERR-03,2023-11-23,active
AGT00359,PTY005359,AN-000359,HI,broker,TERR-10,2016-07-28,inactive
AGT00360,PTY005360,AN-000360,VA,independent,TERR-04,2021-11-19,active
AGT00361,PTY005361,AN-000361,MA,exclusive,TERR-35,2025-08-01,active
AGT00362,PTY005362,AN-000362,NJ,direct,TERR-10,2019-12-13,active
AGT00363,PTY005363,AN-000363,ND,exclusive,TERR-02,2018-03-15,terminated
AGT00364,PTY005364,AN-000364,MI,broker,TERR-10,2019-06-29,active
AGT00365,PTY005365,AN-000365,PA,partner,TERR-10,2019-04-08,active
AGT00366,PTY005366,AN-000366,KY,exclusive,TERR-06,2023-04-14,active
AGT00367,PTY005367,AN-000367,KY,independent,TERR-36,2023-11-03,active
AGT00368,PTY005368,AN-000368,MT,direct,TERR-28,2015-07-29,terminated
AGT00369,PTY005369,AN-000369,SC,independent,TERR-39,2022-05-14,active
AGT00370,PTY005370,AN-000370,NV,partner,TERR-14,2025-06-29,active
AGT00371,PTY005371,AN-000371,AS,direct,TERR-30,2026-03-10,terminated
AGT00372,PTY005372,AN-000372,RI,exclusive,TERR-29,2015-07-16,terminated
AGT00373,PTY005373,AN-000373,WA,broker,TERR-20,2018-06-30,inactive
AGT00374,PTY005374,AN-000374,AZ,direct,TERR-25,2024-08-31,terminated
AGT00375,PTY005375,AN-000375,NH,partner,TERR-15,2021-12-03,inactive
AGT00376,PTY005376,AN-000376,FL,partner,TERR-20,2015-02-09,active
AGT00377,PTY005377,AN-000377,UT,direct,TERR-33,2026-08-14,active
AGT00378,PTY005378,AN-000378,NH,exclusive,TERR-34,2022-12-26,active
AGT00379,PTY005379,AN-000379,MA,partner,TERR-12,2022-07-10,active
AGT00380,PTY005380,AN-000380,NJ,independent,TERR-37,2024-07-31,inactive
AGT00381,PTY005381,AN-000381,SC,direct,TERR-25,2019-02-19,terminated
AGT00382,PTY005382,AN-000382,MN,independent,TERR-10,2018-04-13,active
AGT00383,PTY005383,AN-000383,MP,independent,TERR-32,2025-01-17,active
AGT00384,PTY005384,AN-000384,PA,direct,TERR-35,2021-10-27,terminated
AGT00385,PTY005385,AN-000385,FL,direct,TERR-04,2018-09-18,active
