claim_id,claim_number,policy_id,customer_id,policy_coverage_id,loss_date,report_date,claim_status,loss_cause,paid_amount,reserve_amount
CLM000041,CN-00000041,POL000141,CUST002098,COV000041,2025-03-01,2025-03-03,closed,weather,620.41,149.12
CLM000042,CN-00000042,POL000142,CUST000630,COV000042,2026-09-10,2026-09-16,closed,collision,202.01,32.03
CLM000043,CN-00000043,POL000143,CUST002785,COV000043,2026-04-11,2026-04-25,denied,weather,75.79,3.41
CLM000044,CN-00000044,POL000144,CUST004869,COV000044,2026-02-18,2026-03-04,denied,fire,712.8,154.81
CLM000045,CN-00000045,POL000145,CUST001707,COV000045,2025-10-20,2025-10-20,open,weather,289.51,6.22
CLM000046,CN-00000046,POL000146,CUST004843,COV000046,2026-05-10,2026-05-11,closed,weather,629.05,188.12
CLM000047,CN-00000047,POL000147,CUST002333,COV000047,2024-07-15,2024-07-17,subrogation,weather,554.19,19.17
CLM000048,CN-00000048,POL000148,CUST004604,COV000048,2024-07-09,2024-07-15,open,collision,434.95,39.17
CLM000049,CN-00000049,POL000149,CUST000341,COV000049,2025-07-20,2025-07-25,subrogation,other,165.87,9.99
CLM000050,CN-00000050,POL000150,CUST001831,COV000050,2024-02-24,2024-03-05,denied,weather,703.44,85.4
CLM000051,CN-00000051,POL000151,CUST000547,COV000051,2025-05-05,2025-05-17,closed,water_damage,745.26,107.41
CLM000052,CN-00000052,POL000152,CUST003512,COV000052,2026-02-01,2026-02-04,reopened,water_damage,638.29,136.95
CLM000053,CN-00000053,POL000153,CUST001832,COV000053,2025-02-24,2025-03-10,denied,fire,969.32,123.18
CLM000054,CN-00000054,POL000154,CUST003957,COV000054,2024-02-17,2024-03-01,closed,collision,877.17,118.57
CLM000055,CN-00000055,POL000155,CUST002671,COV000055,2026-01-28,2026-01-30,closed,other,974.39,267.12
CLM000056,CN-00000056,POL000156,CUST002603,COV000056,2026-02-07,2026-02-18,subrogation,liability,124.65,12.2
CLM000057,CN-00000057,POL000157,CUST002059,COV000057,2025-10-09,2025-10-15,reopened,theft,964.78,153.22
CLM000058,CN-00000058,POL000158,CUST003488,COV000058,2024-01-13,2024-01-17,subrogation,liability,659.92,39.39
CLM000059,CN-00000059,POL000159,CUST000411,COV000059,2024-07-17,2024-07-30,denied,weather,97.53,28.15
CLM000060,CN-00000060,POL000160,CUST000477,COV000060,2025-02-15,2025-02-25,reopened,other,443.79,49.43
CLM000061,CN-00000061,POL000161,CUST004832,COV000061,2025-03-14,2025-03-26,closed,water_damage,428.59,76.64
CLM000062,CN-00000062,POL000162,CUST002230,COV000062,2024-03-04,2024-03-10,subrogation,collision,773.46,100.91
CLM000063,CN-00000063,POL000163,CUST004225,COV000063,2026-08-19,2026-09-01,closed,fire,867.07,110.07
CLM000064,CN-00000064,POL000164,CUST002585,COV000064,2024-09-13,2024-09-20,closed,theft,534.58,39.33
CLM000065,CN-00000065,POL000165,CUST000456,COV000065,2025-12-12,2025-12-21,closed,fire,273.25,38.55
CLM000066,CN-00000066,POL000166,CUST002111,COV000066,2024-08-16,2024-08-28,open,theft,656.69,128.07
CLM000067,CN-00000067,POL000167,CUST003293,COV000067,2025-02-25,2025-03-09,closed,liability,197.77,0.12
CLM000068,CN-00000068,POL000168,CUST002264,COV000068,2026-01-06,2026-01-15,subrogation,collision,171.12,20.62
CLM000069,CN-00000069,POL000169,CUST003097,COV000069,2024-02-15,2024-02-16,closed,weather,588.6,123.57
CLM000070,CN-00000070,POL000170,CUST000109,COV000070,2026-02-09,2026-02-12,denied,other,754.17,175.35
CLM000071,CN-00000071,POL000171,CUST001435,COV000071,2026-07-15,2026-07-25,closed,liability,339.06,67.08
CLM000072,CN-00000072,POL000172,CUST002895,COV000072,2025-12-03,2025-12-15,reopened,other,426.59,47.93
CLM000073,CN-00000073,POL000173,CUST002316,COV000073,2024-11-20,2024-11-29,closed,fire,897.09,265.87
CLM000074,CN-00000074,POL000174,CUST001870,COV000074,2026-02-28,2026-03-11,open,other,755.6,202.57
CLM000075,CN-00000075,POL000175,CUST003431,COV000075,2024-10-12,2024-10-17,subrogation,theft,188.13,6.83
CLM000076,CN-00000076,POL000176,CUST004290,COV000076,2025-08-27,2025-09-01,closed,theft,651.44,82.4
CLM000077,CN-00000077,POL000177,CUST001741,COV000077,2026-03-08,2026-03-13,closed,fire,144.37,41.55
CLM000078,CN-00000078,POL000178,CUST002378,COV000078,2024-05-06,2024-05-14,closed,fire,341.12,69.75
CLM000079,CN-00000079,POL000179,CUST001611,COV000079,2024-02-01,2024-02-02,closed,liability,591.64,91.46
CLM000080,CN-00000080,POL000180,CUST003668,COV000080,2025-10-14,2025-10-25,denied,fire,117.3,29.64
CLM000081,CN-00000081,POL000181,CUST001367,COV000081,2024-07-22,2024-07-24,open,water_damage,281.51,54.89
CLM000082,CN-00000082,POL000182,CUST004514,COV000082,2025-04-07,2025-04-09,closed,other,310.13,4.91
CLM000083,CN-00000083,POL000183,CUST003850,COV000083,2025-11-21,2025-11-25,closed,fire,409.2,112.81
CLM000084,CN-00000084,POL000184,CUST003706,COV000084,2025-06-28,2025-07-06,closed,collision,215.97,0.72
CLM000085,CN-00000085,POL000185,CUST001105,COV000085,2024-04-21,2024-05-04,reopened,liability,423.49,114.45
CLM000086,CN-00000086,POL000186,CUST003637,COV000086,2026-07-13,2026-07-21,closed,water_damage,539.76,128.55
CLM000087,CN-00000087,POL000187,CUST001522,COV000087,2025-12-22,2025-12-29,closed,collision,102.47,18.42
CLM000088,CN-00000088,POL000188,CUST004005,COV000088,2024-06-10,2024-06-12,reopened,other,398.54,106.91
CLM000089,CN-00000089,POL000189,CUST004892,COV000089,2024-02-27,2024-02-28,closed,weather,848.02,192.93
CLM000090,CN-00000090,POL000190,CUST003813,COV000090,2025-12-18,2025-12-25,closed,collision,5200.09,1487.74
CLM000091,CN-00000091,POL000191,CUST002120,COV000091,2024-07-11,2024-07-13,closed,fire,344.13,51.96
CLM000092,CN-00000092,POL000192,CUST003708,COV000092,2024-01-13,2024-01-22,closed,weather,629.85,145.03
CLM000093,CN-00000093,POL000193,CUST002435,COV000093,2025-02-14,2025-02-17,subrogation,weather,504.57,150.61
CLM000094,CN-00000094,POL000194,CUST003435,COV000094,2025-12-14,2025-12-27,closed,other,346.08,0.47
CLM000095,CN-00000095,POL000195,CUST002993,COV000095,2025-09-16,2025-09-19,open,weather,783.2,51.68
CLM000096,CN-00000096,POL000196,CUST003903,COV000096,2026-05-03,2026-05-05,reopened,fire,83.96,11.83
CLM000097,CN-00000097,POL000197,CUST003768,COV000097,2026-03-08,2026-03-22,reopened,weather,11242.95,135.16
CLM000098,CN-00000098,POL000198,CUST000494,COV000098,2024-01-15,2024-01-21,closed,other,552.99,8.47
CLM000099,CN-00000099,POL000199,CUST001717,COV000099,2026-01-06,2026-01-07,denied,fire,233.28,24.02
CLM000100,CN-00000100,POL000200,CUST001454,COV000100,2026-03-03,2026-03-14,open,other,946.65,151.26
