policy_coverage_id,policy_id,coverage_code,coverage_name,coverage_status,limit_amount,deductible_amount,effective_date,expiration_date
COV000023,POL000123,PD,Property Damage,active,133154.79,1635.65,2023-06-10,2024-06-09
COV000024,POL000124,PD,Property Damage,active,93479.23,1684.99,2025-05-18,2026-05-18
COV000025,POL000125,BI,Bodily Injury,active,82765.87,3270.53,2025-11-04,2026-11-04
COV000026,POL000126,PD,Property Damage,active,116343.91,275.56,2024-07-27,2025-07-27
COV000027,POL000127,COLL,Collision,active,415673.3,3974.46,2023-12-21,2024-12-20
COV000028,POL000128,COLL,Collision,active,239697.29,309.68,2025-10-01,2026-10-01
COV000029,POL000129,COLL,Collision,active,76314.49,3279.83,2023-08-09,2024-08-08
COV000030,POL000130,COMP,Comprehensive,active,492164.26,2558.36,2025-07-06,2026-07-06
COV000031,POL000131,PD,Property Damage,active,168351.93,842.42,2024-12-02,2025-12-02
COV000032,POL000132,MED,Medical Payments,active,172807.24,4975.78,2026-02-11,2027-02-11
COV000033,POL000133,MED,Medical Payments,active,420531.52,4676.69,2024-08-04,2025-08-04
COV000034,POL000134,PD,Property Damage,active,356586.99,2943.76,2024-12-29,2025-12-29
COV000035,POL000135,PD,Property Damage,active,359896.96,2317.53,2023-01-09,2024-01-09
COV000036,POL000136,COLL,Collision,active,149110.64,2301.72,2025-06-23,2026-06-23
COV000037,POL000137,MED,Medical Payments,active,29940.11,4773.4,2023-06-23,2024-06-22
COV000038,POL000138,COLL,Collision,active,340825.96,3723.59,2023-12-08,2024-12-07
COV000039,POL000139,COLL,Collision,active,163682.31,2907.04,2026-09-06,2027-09-06
COV000040,POL000140,BI,Bodily Injury,active,324161.56,737.98,2026-02-24,2027-02-24
COV000041,POL000141,COLL,Collision,active,340137.34,4968.62,2025-07-27,2026-07-27
COV000042,POL000142,COLL,Collision,active,79402.41,1581.57,2026-01-15,2027-01-15
COV000043,POL000143,COLL,Collision,active,462514.74,4928.7,2023-03-11,2024-03-10
COV000044,POL000144,COMP,Comprehensive,active,398106.46,3032.2,2025-03-30,2026-03-30
COV000045,POL000145,COLL,Collision,active,227239.74,3977.83,2026-08-26,2027-08-26
COV000046,POL000146,MED,Medical Payments,active,99861.21,2306.8,2025-02-24,2026-02-24
COV000047,POL000147,MED,Medical Payments,active,346831.77,3283.46,2026-07-28,2027-07-28
COV000048,POL000148,BI,Bodily Injury,active,111916.32,4781.09,2024-04-15,2025-04-15
COV000049,POL000149,COLL,Collision,active,424797.51,2410.98,2023-10-06,2024-10-05
COV000050,POL000150,COMP,Comprehensive,active,220029.86,4882.25,2024-03-15,2025-03-15
COV000051,POL000151,COMP,Comprehensive,active,496875.18,2837.69,2026-03-29,2027-03-29
COV000052,POL000152,COMP,Comprehensive,active,364118.35,4066.19,2023-12-02,2024-12-01
COV000053,POL000153,COLL,Collision,active,205047.02,1648.59,2024-05-27,2025-05-27
COV000054,POL000154,COLL,Collision,active,342309.49,4987.46,2026-08-04,2027-08-04
COV000055,POL000155,BI,Bodily Injury,active,47713.46,1159.97,2024-02-01,2025-01-31
COV000056,POL000156,COLL,Collision,active,268064.25,1969.72,2025-07-11,2026-07-11
COV000057,POL000157,PD,Property Damage,active,486042.71,3770.35,2023-01-12,2024-01-12
COV000058,POL000158,MED,Medical Payments,active,61732.82,2554.05,2026-08-31,2027-08-31
COV000059,POL000159,COMP,Comprehensive,active,107109.63,3826.19,2025-11-25,2026-11-25
COV000060,POL000160,COMP,Comprehensive,active,224278.73,1991.76,2024-11-07,2025-11-07
COV000061,POL000161,COMP,Comprehensive,active,100233.42,3363.06,2025-05-15,2026-05-15
COV000062,POL000162,BI,Bodily Injury,active,490754.9,4096.62,2025-11-07,2026-11-07
COV000063,POL000163,COLL,Collision,active,88887.99,4027.49,2023-01-29,2024-01-29
COV000064,POL000164,COLL,Collision,active,296859.56,1166.27,2023-01-27,2024-01-27
COV000065,POL000165,BI,Bodily Injury,active,408357.68,475.54,2025-07-12,2026-07-12
COV000066,POL000166,BI,Bodily Injury,active,116349.49,1525.22,2024-04-19,2025-04-19
COV000067,POL000167,PD,Property Damage,active,48159.82,4006.51,2024-04-20,2025-04-20
COV000068,POL000168,COLL,Collision,active,293162.77,334.28,2023-08-08,2024-08-07
COV000069,POL000169,BI,Bodily Injury,active,327452.25,868.32,2025-12-08,2026-12-08
COV000070,POL000170,BI,Bodily Injury,active,424068.86,4437.44,2023-09-15,2024-09-14
COV000071,POL000171,PD,Property Damage,active,141910.61,2830.54,2023-05-19,2024-05-18
COV000072,POL000172,BI,Bodily Injury,active,431515.77,3156.6,2023-01-30,2024-01-30
COV000073,POL000173,COMP,Comprehensive,active,185799.93,4661.89,2024-10-04,2025-10-04
COV000074,POL000174,COLL,Collision,active,421034.13,2556.27,2023-10-13,2024-10-12
COV000075,POL000175,MED,Medical Payments,active,83630.69,2075.03,2025-05-31,2026-05-31
COV000076,POL000176,BI,Bodily Injury,active,308010.12,1989.78,2023-05-26,2024-05-25
COV000077,POL000177,COMP,Comprehensive,active,379268.82,505.75,2025-08-21,2026-08-21
COV000078,POL000178,COLL,Collision,active,238731.45,3719.28,2026-08-29,2027-08-29
COV000079,POL000179,COMP,Comprehensive,active,360367.7,2306.37,2023-11-26,2024-11-25
COV000080,POL000180,MED,Medical Payments,active,402846.7,4825.62,2024-01-05,2025-01-04
COV000081,POL000181,COLL,Collision,active,178223.95,2145.38,2025-08-24,2026-08-24
COV000082,POL000182,BI,Bodily Injury,active,87858.22,2156.01,2024-03-31,2025-03-31
COV000083,POL000183,COMP,Comprehensive,active,459208.27,4245.92,2023-04-26,2024-04-25
COV000084,POL000184,COLL,Collision,active,42680.83,1030.35,2026-04-29,2027-04-29
COV000085,POL000185,BI,Bodily Injury,active,398342.1,816.71,2024-04-11,2025-04-11
COV000086,POL000186,PD,Property Damage,active,136900.63,2386.79,2024-07-06,2025-07-06
COV000087,POL000187,MED,Medical Payments,active,259076.77,532.45,2023-01-27,2024-01-27
COV000088,POL000188,BI,Bodily Injury,active,27962.57,2766.15,2023-08-15,2024-08-14
COV000089,POL000189,COMP,Comprehensive,active,458330.23,516.03,2023-12-25,2024-12-24
COV000090,POL000190,MED,Medical Payments,active,122443.46,1867.45,2025-04-09,2026-04-09
COV000091,POL000191,COLL,Collision,active,214274.4,3424.37,2023-07-14,2024-07-13
COV000092,POL000192,MED,Medical Payments,active,434644.6,806.43,2023-12-30,2024-12-29
COV000093,POL000193,PD,Property Damage,active,446540.43,4198.88,2025-12-25,2026-12-25
COV000094,POL000194,PD,Property Damage,active,485525.71,3350.4,2026-03-20,2027-03-20
COV000095,POL000195,COLL,Collision,active,47174.5,2115.86,2023-07-30,2024-07-29
COV000096,POL000196,BI,Bodily Injury,active,123109.21,4891.61,2024-04-20,2025-04-20
COV000097,POL000197,BI,Bodily Injury,active,86486.45,4064.06,2025-05-11,2026-05-11
COV000098,POL000198,COLL,Collision,active,40228.55,1420.81,2025-12-25,2026-12-25
COV000099,POL000199,PD,Property Damage,active,452681.17,2241.55,2024-04-02,2025-04-02
COV000100,POL000200,MED,Medical Payments,active,45591.81,680.21,2024-10-17,2025-10-17
COV000101,POL000201,MED,Medical Payments,active,330296.87,2318.15,2024-12-05,2025-12-05
COV000102,POL000202,COLL,Collision,active,364454.98,317.03,2024-05-15,2025-05-15
COV000103,POL000203,COLL,Collision,active,330898.42,353.58,2024-11-25,2025-11-25
COV000104,POL000204,COMP,Comprehensive,active,184237.85,3852.75,2023-10-01,2024-09-30
COV000105,POL000205,BI,Bodily Injury,active,302362.18,1573.17,2024-07-05,2025-07-05
COV000106,POL000206,PD,Property Damage,active,490094.9,1524.39,2025-12-11,2026-12-11
COV000107,POL000207,MED,Medical Payments,active,57072.18,3341.61,2025-02-12,2026-02-12
COV000108,POL000208,BI,Bodily Injury,active,197895.59,457.32,2024-01-04,2025-01-03
COV000109,POL000209,MED,Medical Payments,active,233376.1,3569.11,2026-02-13,2027-02-13
COV000110,POL000210,PD,Property Damage,active,222841.48,1071.06,2024-01-15,2025-01-14
COV000111,POL000211,COMP,Comprehensive,active,184754.0,1832.47,2026-06-04,2027-06-04
COV000112,POL000212,COMP,Comprehensive,active,443534.58,759.68,2024-04-01,2025-04-01
COV000113,POL000213,COMP,Comprehensive,active,366558.62,4986.8,2024-05-07,2025-05-07
COV000114,POL000214,BI,Bodily Injury,active,272637.23,4775.44,2025-01-08,2026-01-08
COV000115,POL000215,BI,Bodily Injury,active,231085.39,368.92,2024-10-13,2025-10-13
COV000116,POL000216,COLL,Collision,active,135646.16,312.72,2023-01-08,2024-01-08
COV000117,POL000217,BI,Bodily Injury,active,362029.13,2058.26,2023-11-21,2024-11-20
COV000118,POL000218,BI,Bodily Injury,active,457607.6,2937.31,2026-06-08,2027-06-08
COV000119,POL000219,BI,Bodily Injury,active,141550.74,4514.23,2025-01-07,2026-01-07
COV000120,POL000220,PD,Property Damage,active,142998.42,1203.47,2025-06-13,2026-06-13
COV000121,POL000221,COMP,Comprehensive,active,402070.65,1069.71,2025-05-05,2026-05-05
COV000122,POL000222,BI,Bodily Injury,active,152667.52,1292.96,2024-08-21,2025-08-21
COV000123,POL000223,PD,Property Damage,active,376827.94,2084.66,2025-12-08,2026-12-08
COV000124,POL000224,COMP,Comprehensive,active,151764.09,2028.82,2025-01-10,2026-01-10
COV000125,POL000225,MED,Medical Payments,active,70279.05,1684.4,2024-03-13,2025-03-13
COV000126,POL000226,COMP,Comprehensive,active,222510.11,705.69,2024-08-24,2025-08-24
COV000127,POL000227,COMP,Comprehensive,active,440953.9,3268.7,2025-11-18,2026-11-18
COV000128,POL000228,COLL,Collision,active,286998.61,1807.31,2023-04-11,2024-04-10
COV000129,POL000229,MED,Medical Payments,active,76923.01,2210.24,2023-06-15,2024-06-14
COV000130,POL000230,COMP,Comprehensive,active,334491.19,336.52,2024-03-31,2025-03-31
COV000131,POL000231,COLL,Collision,active,353233.67,3041.18,2023-07-20,2024-07-19
COV000132,POL000232,MED,Medical Payments,active,70360.33,3355.67,2023-10-22,2024-10-21
COV000133,POL000233,MED,Medical Payments,active,489613.35,388.64,2023-01-06,2024-01-06
COV000134,POL000234,BI,Bodily Injury,active,342875.42,4965.3,2026-03-23,2027-03-23
COV000135,POL000235,BI,Bodily Injury,active,91106.61,2338.34,2025-05-24,2026-05-24
COV000136,POL000236,BI,Bodily Injury,active,211633.99,987.73,2026-09-13,2027-09-13
COV000137,POL000237,MED,Medical Payments,active,277214.93,1036.95,2026-04-25,2027-04-25
COV000138,POL000238,PD,Property Damage,active,151132.7,2862.49,2026-07-22,2027-07-22
COV000139,POL000239,COLL,Collision,active,56791.31,2510.8,2024-07-22,2025-07-22
COV000140,POL000240,COLL,Collision,active,256892.93,3141.39,2024-08-12,2025-08-12
COV000141,POL000241,COMP,Comprehensive,active,40636.94,3966.44,2023-06-05,2024-06-04
COV000142,POL000242,BI,Bodily Injury,active,393251.4,3378.43,2025-12-10,2026-12-10
COV000143,POL000243,PD,Property Damage,active,424930.0,3477.25,2025-08-01,2026-08-01
COV000144,POL000244,COLL,Collision,active,319743.33,4611.69,2023-12-18,2024-12-17
COV000145,POL000245,COLL,Collision,active,169129.39,3314.64,2023-02-22,2024-02-22
COV000146,POL000246,BI,Bodily Injury,active,334424.92,3525.55,2024-06-01,2025-06-01
COV000147,POL000247,COLL,Collision,active,339817.67,639.8,2025-10-20,2026-10-20
COV000148,POL000248,COMP,Comprehensive,active,214220.38,923.11,2023-05-16,2024-05-15
COV000149,POL000249,COLL,Collision,active,220570.27,1828.13,2026-03-31,2027-03-31
COV000150,POL000250,MED,Medical Payments,active,189739.75,918.39,2026-01-29,2027-01-29
COV000151,POL000251,COMP,Comprehensive,active,56568.25,4012.29,2024-12-26,2025-12-26
COV000152,POL000252,PD,Property Damage,active,263403.1,3240.92,2023-11-20,2024-11-19
COV000153,POL000253,PD,Property Damage,active,206447.77,768.81,2023-04-27,2024-04-26
COV000154,POL000254,COMP,Comprehensive,active,110046.68,972.69,2026-05-14,2027-05-14
COV000155,POL000255,MED,Medical Payments,active,462575.92,3398.59,2023-12-12,2024-12-11
COV000156,POL000256,COLL,Collision,active,161328.01,3033.76,2024-05-05,2025-05-05
COV000157,POL000257,MED,Medical Payments,active,188314.06,831.04,2024-04-20,2025-04-20
COV000158,POL000258,COLL,Collision,active,481237.92,599.94,2026-04-27,2027-04-27
COV000159,POL000259,COMP,Comprehensive,active,452271.21,2813.2,2024-04-05,2025-04-05
COV000160,POL000260,COMP,Comprehensive,active,151624.01,2036.78,2024-08-11,2025-08-11
COV000161,POL000261,COMP,Comprehensive,active,350737.48,4815.54,2025-11-21,2026-11-21
COV000162,POL000262,BI,Bodily Injury,active,378946.33,3332.7,2025-11-12,2026-11-12
COV000163,POL000263,COLL,Collision,active,478435.61,901.0,2023-08-30,2024-08-29
COV000164,POL000264,BI,Bodily Injury,active,237136.84,1516.44,2026-06-12,2027-06-12
COV000165,POL000265,BI,Bodily Injury,active,88622.4,4859.89,2024-04-19,2025-04-19
COV000166,POL000266,MED,Medical Payments,active,44319.56,4884.15,2023-01-21,2024-01-21
COV000167,POL000267,MED,Medical Payments,active,263521.48,3714.33,2024-07-21,2025-07-21
COV000168,POL000268,COMP,Comprehensive,active,57057.33,4991.16,2025-09-07,2026-09-07
COV000169,POL000269,COLL,Collision,active,325784.63,3676.51,2025-06-25,2026-06-25
COV000170,POL000270,PD,Property Damage,active,203158.21,4311.31,2025-08-20,2026-08-20
COV000171,POL000271,PD,Property Damage,active,68136.23,1302.59,2024-01-31,2025-01-30
COV000172,POL000272,COMP,Comprehensive,active,302938.93,2264.06,2025-12-28,2026-12-28
COV000173,POL000273,COLL,Collision,active,268264.01,3668.12,2025-01-17,2026-01-17
COV000174,POL000274,PD,Property Damage,active,321343.21,4734.52,2024-11-03,2025-11-03
COV000175,POL000275,PD,Property Damage,active,76525.62,3050.32,2024-08-16,2025-08-16
COV000176,POL000276,PD,Property Damage,active,283451.18,1877.13,2025-03-30,2026-03-30
COV000177,POL000277,PD,Property Damage,active,103908.88,3172.89,2026-02-07,2027-02-07
COV000178,POL000278,BI,Bodily Injury,active,477007.71,1727.73,2023-11-17,2024-11-16
COV000179,POL000279,PD,Property Damage,active,428032.27,626.76,2026-07-02,2027-07-02
COV000180,POL000280,COMP,Comprehensive,active,439407.14,1726.3,2025-03-24,2026-03-24
COV000181,POL000281,MED,Medical Payments,active,353487.2,3242.08,2026-02-18,2027-02-18
COV000182,POL000282,BI,Bodily Injury,active,147352.92,3213.33,2024-06-04,2025-06-04
COV000183,POL000283,MED,Medical Payments,active,389912.45,3396.36,2024-07-11,2025-07-11
COV000184,POL000284,PD,Property Damage,active,62126.11,4344.24,2023-03-17,2024-03-16
COV000185,POL000285,PD,Property Damage,active,33218.09,3389.96,2023-05-19,2024-05-18
COV000186,POL000286,COMP,Comprehensive,active,417192.33,3017.09,2026-03-23,2027-03-23
COV000187,POL000287,COMP,Comprehensive,active,141136.05,3616.29,2023-03-06,2024-03-05
COV000188,POL000288,MED,Medical Payments,active,156516.17,4248.11,2026-01-13,2027-01-13
COV000189,POL000289,BI,Bodily Injury,active,466417.61,4211.09,2023-02-11,2024-02-11
COV000190,POL000290,MED,Medical Payments,active,124293.06,2425.97,2025-05-29,2026-05-29
COV000191,POL000291,MED,Medical Payments,active,462354.93,1534.16,2023-11-27,2024-11-26
COV000192,POL000292,BI,Bodily Injury,active,26593.92,1639.89,2025-07-18,2026-07-18
COV000193,POL000293,BI,Bodily Injury,active,149811.41,4959.41,2025-03-03,2026-03-03
COV000194,POL000294,COLL,Collision,active,221915.08,1585.26,2023-05-24,2024-05-23
COV000195,POL000295,COLL,Collision,active,128026.85,4416.27,2025-05-09,2026-05-09
COV000196,POL000296,MED,Medical Payments,active,104259.37,4207.43,2023-11-24,2024-11-23
COV000197,POL000297,BI,Bodily Injury,active,278247.07,4419.98,2026-04-16,2027-04-16
COV000198,POL000298,BI,Bodily Injury,active,444028.21,2236.75,2025-12-29,2026-12-29
COV000199,POL000299,MED,Medical Payments,active,379235.43,2834.57,2025-04-08,2026-04-08
COV000200,POL000300,PD,Property Damage,active,381601.67,951.89,2024-11-16,2025-11-16
COV000201,POL000301,COMP,Comprehensive,active,51555.77,796.64,2024-07-23,2025-07-23
COV000202,POL000302,PD,Property Damage,active,425309.16,4672.11,2026-03-04,2027-03-04
COV000203,POL000303,BI,Bodily Injury,active,393694.11,2818.24,2026-06-28,2027-06-28
COV000204,POL000304,BI,Bodily Injury,active,470141.95,2455.56,2024-09-17,2025-09-17
COV000205,POL000305,PD,Property Damage,active,459876.68,747.27,2025-01-26,2026-01-26
COV000206,POL000306,MED,Medical Payments,active,245278.41,1992.27,2025-05-15,2026-05-15
COV000207,POL000307,BI,Bodily Injury,active,240945.97,963.97,2026-04-11,2027-04-11
COV000208,POL000308,MED,Medical Payments,active,469284.24,2893.63,2024-11-07,2025-11-07
COV000209,POL000309,BI,Bodily Injury,active,229653.62,4556.09,2024-06-13,2025-06-13
COV000210,POL000310,COMP,Comprehensive,active,330432.5,3403.57,2023-08-24,2024-08-23
COV000211,POL000311,COLL,Collision,active,196792.46,2009.44,2024-10-20,2025-10-20
COV000212,POL000312,COMP,Comprehensive,active,488284.71,4655.86,2026-02-21,2027-02-21
COV000213,POL000313,BI,Bodily Injury,active,404071.43,2318.38,2023-05-03,2024-05-02
COV000214,POL000314,COLL,Collision,active,64240.08,576.19,2023-10-20,2024-10-19
COV000215,POL000315,PD,Property Damage,active,405383.19,2363.69,2026-02-17,2027-02-17
COV000216,POL000316,PD,Property Damage,active,345724.48,4313.32,2024-04-04,2025-04-04
COV000217,POL000317,COMP,Comprehensive,active,148061.81,1247.7,2023-05-01,2024-04-30
COV000218,POL000318,BI,Bodily Injury,active,356834.98,3241.53,2025-03-23,2026-03-23
COV000219,POL000319,COLL,Collision,active,69643.49,599.45,2025-06-15,2026-06-15
COV000220,POL000320,COLL,Collision,active,305490.44,777.02,2025-08-17,2026-08-17
COV000221,POL000321,COMP,Comprehensive,active,394064.38,4527.78,2024-08-28,2025-08-28
COV000222,POL000322,BI,Bodily Injury,active,265846.92,2988.54,2024-08-25,2025-08-25
COV000223,POL000323,MED,Medical Payments,active,466558.44,494.84,2025-04-13,2026-04-13
COV000224,POL000324,BI,Bodily Injury,active,442482.92,3461.16,2023-03-12,2024-03-11
COV000225,POL000325,COMP,Comprehensive,active,312972.01,994.68,2024-04-20,2025-04-20
COV000226,POL000326,MED,Medical Payments,active,151601.21,4037.07,2023-09-16,2024-09-15
COV000227,POL000327,MED,Medical Payments,active,321844.86,2154.83,2025-11-15,2026-11-15
COV000228,POL000328,BI,Bodily Injury,active,218643.02,2202.74,2025-03-11,2026-03-11
COV000229,POL000329,BI,Bodily Injury,active,80331.33,2017.72,2024-01-14,2025-01-13
COV000230,POL000330,BI,Bodily Injury,active,379391.36,694.31,2025-08-23,2026-08-23
COV000231,POL000331,BI,Bodily Injury,active,427205.08,995.15,2025-06-03,2026-06-03
COV000232,POL000332,COLL,Collision,active,134684.26,2869.94,2023-01-09,2024-01-09
COV000233,POL000333,COLL,Collision,active,215784.34,1955.36,2026-03-03,2027-03-03
COV000234,POL000334,COLL,Collision,active,448362.83,3140.02,2025-06-08,2026-06-08
COV000235,POL000335,COMP,Comprehensive,active,254203.11,2943.25,2023-05-19,2024-05-18
COV000236,POL000336,PD,Property Damage,active,151034.58,3352.46,2024-01-18,2025-01-17
COV000237,POL000337,MED,Medical Payments,active,223666.13,1739.32,2026-08-31,2027-08-31
COV000238,POL000338,COLL,Collision,active,207757.32,2608.45,2023-08-14,2024-08-13
COV000239,POL000339,PD,Property Damage,active,333119.63,956.01,2025-10-16,2026-10-16
COV000240,POL000340,COLL,Collision,active,105899.19,4224.31,2025-03-27,2026-03-27
COV000241,POL000341,BI,Bodily Injury,active,214199.6,1158.85,2024-12-04,2025-12-04
COV000242,POL000342,MED,Medical Payments,active,354672.67,824.62,2026-02-23,2027-02-23
COV000243,POL000343,BI,Bodily Injury,active,356477.38,602.88,2023-02-21,2024-02-21
COV000244,POL000344,BI,Bodily Injury,active,39408.54,3092.74,2023-06-28,2024-06-27
COV000245,POL000345,MED,Medical Payments,active,76418.68,3217.26,2024-02-16,2025-02-15
COV000246,POL000346,MED,Medical Payments,active,275349.79,4922.57,2023-12-20,2024-12-19
COV000247,POL000347,COMP,Comprehensive,active,273321.78,4781.22,2025-12-21,2026-12-21
COV000248,POL000348,BI,Bodily Injury,active,128553.8,645.85,2023-11-23,2024-11-22
COV000249,POL000349,BI,Bodily Injury,active,115278.77,1799.97,2025-02-10,2026-02-10
COV000250,POL000350,MED,Medical Payments,active,37473.24,2459.71,2024-05-23,2025-05-23
COV000251,POL000351,BI,Bodily Injury,active,51917.31,3052.27,2025-07-09,2026-07-09
COV000252,POL000352,PD,Property Damage,active,52487.0,3506.36,2025-12-17,2026-12-17
COV000253,POL000353,COMP,Comprehensive,active,424656.76,3006.72,2026-02-17,2027-02-17
COV000254,POL000354,MED,Medical Payments,active,250976.83,1959.9,2024-05-29,2025-05-29
COV000255,POL000355,COLL,Collision,active,132242.66,3372.65,2025-04-02,2026-04-02
COV000256,POL000356,COMP,Comprehensive,active,143686.23,3697.4,2023-01-30,2024-01-30
COV000257,POL000357,COLL,Collision,active,284748.43,789.09,2026-05-30,2027-05-30
COV000258,POL000358,COLL,Collision,active,207525.5,4178.94,2023-09-05,2024-09-04
COV000259,POL000359,BI,Bodily Injury,active,29299.35,4369.8,2026-02-06,2027-02-06
COV000260,POL000360,PD,Property Damage,active,210702.0,2461.37,2024-03-29,2025-03-29
COV000261,POL000361,COMP,Comprehensive,active,252240.65,3825.59,2026-04-23,2027-04-23
COV000262,POL000362,BI,Bodily Injury,active,271112.2,1823.3,2025-04-21,2026-04-21
COV000263,POL000363,MED,Medical Payments,active,418697.9,3621.82,2023-06-03,2024-06-02
COV000264,POL000364,COLL,Collision,active,260135.79,4410.17,2024-06-12,2025-06-12
COV000265,POL000365,PD,Property Damage,active,126756.87,2277.17,2024-01-25,2025-01-24
COV000266,POL000366,PD,Property Damage,active,219974.99,1630.65,2026-02-20,2027-02-20
COV000267,POL000367,COMP,Comprehensive,active,213349.23,4532.32,2023-12-19,2024-12-18
COV000268,POL000368,COMP,Comprehensive,active,482224.09,2379.05,2024-06-15,2025-06-15
COV000269,POL000369,PD,Property Damage,active,56609.19,4479.34,2023-09-03,2024-09-02
COV000270,POL000370,PD,Property Damage,active,495936.57,4364.22,2024-03-08,2025-03-08
COV000271,POL000371,MED,Medical Payments,active,314313.79,2356.33,2026-03-12,2027-03-12
COV000272,POL000372,PD,Property Damage,active,250339.0,2361.26,2024-12-21,2025-12-21
COV000273,POL000373,BI,Bodily Injury,active,154874.08,3077.94,2024-01-25,2025-01-24
COV000274,POL000374,BI,Bodily Injury,active,108565.59,2021.3,2023-10-30,2024-10-29
COV000275,POL000375,PD,Property Damage,active,319391.98,3476.67,2024-01-17,2025-01-16
COV000276,POL000376,COMP,Comprehensive,active,121303.07,3142.66,2025-01-13,2026-01-13
COV000277,POL000377,COLL,Collision,active,294558.44,1559.07,2023-01-28,2024-01-28
COV000278,POL000378,COMP,Comprehensive,active,29618.45,3417.82,2025-11-27,2026-11-27
COV000279,POL000379,COMP,Comprehensive,active,286875.41,2211.02,2026-08-01,2027-08-01
COV000280,POL000380,COLL,Collision,active,275015.9,4319.0,2023-09-13,2024-09-12
COV000281,POL000381,MED,Medical Payments,active,412725.19,2361.93,2026-06-09,2027-06-09
COV000282,POL000382,PD,Property Damage,active,196331.51,1822.11,2025-07-27,2026-07-27
COV000283,POL000383,PD,Property Damage,active,439181.81,1149.13,2023-06-19,2024-06-18
COV000284,POL000384,PD,Property Damage,active,155331.5,4112.8,2024-02-26,2025-02-25
COV000285,POL000385,PD,Property Damage,active,114453.32,4886.48,2023-03-09,2024-03-08
COV000286,POL000386,MED,Medical Payments,active,454556.34,3674.83,2025-10-15,2026-10-15
COV000287,POL000387,PD,Property Damage,active,101995.96,4852.33,2023-02-06,2024-02-06
COV000288,POL000388,MED,Medical Payments,active,158987.6,3172.57,2025-07-20,2026-07-20
COV000289,POL000389,BI,Bodily Injury,active,485952.45,4967.37,2024-07-31,2025-07-31
COV000290,POL000390,BI,Bodily Injury,active,75851.38,955.58,2023-09-11,2024-09-10
COV000291,POL000391,PD,Property Damage,active,296502.3,801.68,2026-03-19,2027-03-19
COV000292,POL000392,PD,Property Damage,active,344567.41,3049.5,2024-06-10,2025-06-10
COV000293,POL000393,BI,Bodily Injury,active,441520.57,1687.57,2023-05-06,2024-05-05
COV000294,POL000394,BI,Bodily Injury,active,234875.56,2543.53,2025-08-17,2026-08-17
COV000295,POL000395,COMP,Comprehensive,active,321339.79,4560.07,2025-07-04,2026-07-04
COV000296,POL000396,MED,Medical Payments,active,108092.75,2669.65,2024-01-21,2025-01-20
COV000297,POL000397,PD,Property Damage,active,165477.79,2007.94,2024-04-07,2025-04-07
COV000298,POL000398,BI,Bodily Injury,active,78113.72,3055.22,2025-10-05,2026-10-05
COV000299,POL000399,COLL,Collision,active,446093.58,4229.54,2024-11-25,2025-11-25
COV000300,POL000400,COLL,Collision,active,39652.27,4063.35,2024-01-18,2025-01-17
COV000301,POL000401,COMP,Comprehensive,active,320881.7,598.01,2025-02-14,2026-02-14
COV000302,POL000402,COLL,Collision,active,299432.2,3142.86,2025-12-30,2026-12-30
COV000303,POL000403,COMP,Comprehensive,active,367714.18,3307.04,2024-08-07,2025-08-07
COV000304,POL000404,COLL,Collision,active,245055.52,929.42,2024-09-29,2025-09-29
