premium_id,policy_id,policy_coverage_id,premium_period_start,premium_period_end,transaction_type,written_premium_amount,earned_premium_amount
PREM000062,POL000162,COV000062,2025-11-07,2026-11-07,audit,545.63,473.64
PREM000063,POL000163,COV000063,2023-01-29,2024-01-29,renewal,1385.86,835.03
PREM000064,POL000164,COV000064,2023-01-27,2024-01-27,endorsement,487.75,463.09
PREM000065,POL000165,COV000065,2025-07-12,2026-07-12,new_business,1382.38,733.27
PREM000066,POL000166,COV000066,2024-04-19,2025-04-19,cancellation,241.7,214.67
PREM000067,POL000167,COV000067,2024-04-20,2025-04-20,reinstatement,2476.93,1317.76
PREM000068,POL000168,COV000068,2023-08-08,2024-08-07,audit,1432.97,1104.56
PREM000069,POL000169,COV000069,2025-12-08,2026-12-08,renewal,1347.08,1138.94
PREM000070,POL000170,COV000070,2023-09-15,2024-09-14,new_business,207.45,135.49
PREM000071,POL000171,COV000071,2023-05-19,2024-05-18,new_business,1478.95,1195.46
PREM000072,POL000172,COV000072,2023-01-30,2024-01-30,cancellation,698.35,396.97
PREM000073,POL000173,COV000073,2024-10-04,2025-10-04,renewal,440.0,263.25
PREM000074,POL000174,COV000074,2023-10-13,2024-10-12,renewal,808.0,655.31
PREM000075,POL000175,COV000075,2025-05-31,2026-05-31,new_business,2725.85,1600.52
PREM000076,POL000176,COV000076,2023-05-26,2024-05-25,renewal,2859.62,1473.76
PREM000077,POL000177,COV000077,2025-08-21,2026-08-21,new_business,681.48,659.04
PREM000078,POL000178,COV000078,2026-08-29,2027-08-29,renewal,2926.01,2640.54
PREM000079,POL000179,COV000079,2023-11-26,2024-11-25,audit,2566.79,2558.73
PREM000080,POL000180,COV000080,2024-01-05,2025-01-04,endorsement,2654.4,1407.16
PREM000081,POL000181,COV000081,2025-08-24,2026-08-24,audit,349.54,320.04
PREM000082,POL000182,COV000082,2024-03-31,2025-03-31,reinstatement,1916.2,1387.33
PREM000083,POL000183,COV000083,2023-04-26,2024-04-25,reinstatement,1046.12,529.34
PREM000084,POL000184,COV000084,2026-04-29,2027-04-29,renewal,1431.25,1335.49
PREM000085,POL000185,COV000085,2024-04-11,2025-04-11,audit,2460.69,2274.18
PREM000086,POL000186,COV000086,2024-07-06,2025-07-06,new_business,1866.76,1820.58
PREM000087,POL000187,COV000087,2023-01-27,2024-01-27,renewal,2396.34,2199.58
PREM000088,POL000188,COV000088,2023-08-15,2024-08-14,endorsement,2675.53,1613.65
PREM000089,POL000189,COV000089,2023-12-25,2024-12-24,renewal,1578.07,1400.9
PREM000090,POL000190,COV000090,2025-04-09,2026-04-09,new_business,768.09,416.47
PREM000091,POL000191,COV000091,2023-07-14,2024-07-13,cancellation,2151.44,1260.57
PREM000092,POL000192,COV000092,2023-12-30,2024-12-29,cancellation,1085.73,572.34
PREM000093,POL000193,COV000093,2025-12-25,2026-12-25,cancellation,1400.32,789.01
PREM000094,POL000194,COV000094,2026-03-20,2027-03-20,renewal,2844.8,2355.28
PREM000095,POL000195,COV000095,2023-07-30,2024-07-29,new_business,1484.53,970.23
PREM000096,POL000196,COV000096,2024-04-20,2025-04-20,renewal,2473.85,1840.65
PREM000097,POL000197,COV000097,2025-05-11,2026-05-11,new_business,77.15,70.78
PREM000098,POL000198,COV000098,2025-12-25,2026-12-25,renewal,1564.44,1403.56
PREM000099,POL000199,COV000099,2024-04-02,2025-04-02,renewal,2658.33,1836.6
PREM000100,POL000200,COV000100,2024-10-17,2025-10-17,audit,284.86,256.09
PREM000101,POL000201,COV000101,2024-12-05,2025-12-05,renewal,1943.86,1415.07
PREM000102,POL000202,COV000102,2024-05-15,2025-05-15,reinstatement,2848.77,2441.56
PREM000103,POL000203,COV000103,2024-11-25,2025-11-25,renewal,1379.99,1142.2
PREM000104,POL000204,COV000104,2023-10-01,2024-09-30,renewal,61.51,37.36
PREM000105,POL000205,COV000105,2024-07-05,2025-07-05,new_business,2585.38,1839.39
PREM000106,POL000206,COV000106,2025-12-11,2026-12-11,audit,1754.15,1396.91
PREM000107,POL000207,COV000107,2025-02-12,2026-02-12,cancellation,2362.02,1935.78
PREM000108,POL000208,COV000108,2024-01-04,2025-01-03,audit,453.03,249.47
PREM000109,POL000209,COV000109,2026-02-13,2027-02-13,new_business,2316.2,2176.68
PREM000110,POL000210,COV000110,2024-01-15,2025-01-14,renewal,98.38,65.45
PREM000111,POL000211,COV000111,2026-06-04,2027-06-04,renewal,1331.15,750.88
PREM000112,POL000212,COV000112,2024-04-01,2025-04-01,renewal,1104.36,609.59
PREM000113,POL000213,COV000113,2024-05-07,2025-05-07,reinstatement,2861.25,2465.98
PREM000114,POL000214,COV000114,2025-01-08,2026-01-08,cancellation,2217.65,1201.52
PREM000115,POL000215,COV000115,2024-10-13,2025-10-13,reinstatement,869.23,482.01
PREM000116,POL000216,COV000116,2023-01-08,2024-01-08,audit,2116.43,1456.19
PREM000117,POL000217,COV000117,2023-11-21,2024-11-20,cancellation,2686.26,1586.19
PREM000118,POL000218,COV000118,2026-06-08,2027-06-08,audit,2983.74,1598.5
PREM000119,POL000219,COV000119,2025-01-07,2026-01-07,new_business,2006.72,1942.04
PREM000120,POL000220,COV000120,2025-06-13,2026-06-13,reinstatement,1566.3,1408.72
PREM000121,POL000221,COV000121,2025-05-05,2026-05-05,cancellation,1523.3,1115.57
PREM000122,POL000222,COV000122,2024-08-21,2025-08-21,reinstatement,139.12,129.37
PREM000123,POL000223,COV000123,2025-12-08,2026-12-08,audit,2856.27,2496.0
PREM000124,POL000224,COV000124,2025-01-10,2026-01-10,cancellation,81.31,66.16
PREM000125,POL000225,COV000125,2024-03-13,2025-03-13,cancellation,1124.33,681.85
PREM000126,POL000226,COV000126,2024-08-24,2025-08-24,cancellation,1831.17,1770.84
PREM000127,POL000227,COV000127,2025-11-18,2026-11-18,reinstatement,1683.75,1397.79
PREM000128,POL000228,COV000128,2023-04-11,2024-04-10,reinstatement,2709.94,1448.83
PREM000129,POL000229,COV000129,2023-06-15,2024-06-14,reinstatement,2377.61,1297.96
PREM000130,POL000230,COV000130,2024-03-31,2025-03-31,cancellation,744.56,533.1
PREM000131,POL000231,COV000131,2023-07-20,2024-07-19,new_business,2850.19,2328.87
PREM000132,POL000232,COV000132,2023-10-22,2024-10-21,renewal,2802.2,1709.03
PREM000133,POL000233,COV000133,2023-01-06,2024-01-06,cancellation,1806.28,1606.09
PREM000134,POL000234,COV000134,2026-03-23,2027-03-23,endorsement,257.84,243.32
PREM000135,POL000235,COV000135,2025-05-24,2026-05-24,cancellation,1247.39,801.31
PREM000136,POL000236,COV000136,2026-09-13,2027-09-13,reinstatement,1562.45,1046.56
PREM000137,POL000237,COV000137,2026-04-25,2027-04-25,audit,2115.76,1253.71
PREM000138,POL000238,COV000138,2026-07-22,2027-07-22,endorsement,920.89,566.38
PREM000139,POL000239,COV000139,2024-07-22,2025-07-22,renewal,2107.69,2065.18
PREM000140,POL000240,COV000140,2024-08-12,2025-08-12,new_business,793.03,697.26
PREM000141,POL000241,COV000141,2023-06-05,2024-06-04,reinstatement,1800.94,1453.09
PREM000142,POL000242,COV000142,2025-12-10,2026-12-10,audit,285.93,203.21
PREM000143,POL000243,COV000143,2025-08-01,2026-08-01,new_business,599.98,328.93
PREM000144,POL000244,COV000144,2023-12-18,2024-12-17,reinstatement,1493.36,1066.61
PREM000145,POL000245,COV000145,2023-02-22,2024-02-22,new_business,2259.18,1555.62
PREM000146,POL000246,COV000146,2024-06-01,2025-06-01,renewal,1995.96,1558.7
PREM000147,POL000247,COV000147,2025-10-20,2026-10-20,new_business,1561.47,1181.6
PREM000148,POL000248,COV000148,2023-05-16,2024-05-15,reinstatement,2876.18,2368.2
PREM000149,POL000249,COV000149,2026-03-31,2027-03-31,new_business,1763.76,935.38
PREM000150,POL000250,COV000150,2026-01-29,2027-01-29,renewal,2698.12,2573.46
PREM000151,POL000251,COV000151,2024-12-26,2025-12-26,new_business,345.18,337.95
PREM000152,POL000252,COV000152,2023-11-20,2024-11-19,audit,2693.14,2599.56
PREM000153,POL000253,COV000153,2023-04-27,2024-04-26,renewal,2258.1,1195.75
PREM000154,POL000254,COV000154,2026-05-14,2027-05-14,reinstatement,722.01,647.72
PREM000155,POL000255,COV000155,2023-12-12,2024-12-11,audit,1779.89,1514.89
PREM000156,POL000256,COV000156,2024-05-05,2025-05-05,new_business,2259.5,2158.85
PREM000157,POL000257,COV000157,2024-04-20,2025-04-20,renewal,2409.1,2140.5
PREM000158,POL000258,COV000158,2026-04-27,2027-04-27,renewal,497.0,456.2
PREM000159,POL000259,COV000159,2024-04-05,2025-04-05,audit,1260.18,1130.85
PREM000160,POL000260,COV000160,2024-08-11,2025-08-11,new_business,2456.71,2149.64
PREM000161,POL000261,COV000161,2025-11-21,2026-11-21,renewal,1013.69,796.31
PREM000162,POL000262,COV000162,2025-11-12,2026-11-12,renewal,416.39,411.65
PREM000163,POL000263,COV000163,2023-08-30,2024-08-29,endorsement,1844.69,1685.7
PREM000164,POL000264,COV000164,2026-06-12,2027-06-12,audit,2216.07,2196.49
PREM000165,POL000265,COV000165,2024-04-19,2025-04-19,renewal,2607.06,2155.74
PREM000166,POL000266,COV000166,2023-01-21,2024-01-21,endorsement,2398.07,1378.29
PREM000167,POL000267,COV000167,2024-07-21,2025-07-21,new_business,2118.97,1645.74
PREM000168,POL000268,COV000168,2025-09-07,2026-09-07,renewal,2481.1,1396.76
PREM000169,POL000269,COV000169,2025-06-25,2026-06-25,audit,1050.8,827.2
PREM000170,POL000270,COV000170,2025-08-20,2026-08-20,audit,1257.72,813.67
PREM000171,POL000271,COV000171,2024-01-31,2025-01-30,reinstatement,1114.02,886.3
PREM000172,POL000272,COV000172,2025-12-28,2026-12-28,renewal,681.49,476.62
PREM000173,POL000273,COV000173,2025-01-17,2026-01-17,renewal,875.35,492.19
PREM000174,POL000274,COV000174,2024-11-03,2025-11-03,renewal,1460.16,949.58
PREM000175,POL000275,COV000175,2024-08-16,2025-08-16,endorsement,1143.1,934.96
PREM000176,POL000276,COV000176,2025-03-30,2026-03-30,renewal,1450.37,837.0
PREM000177,POL000277,COV000177,2026-02-07,2027-02-07,renewal,211.57,124.05
PREM000178,POL000278,COV000178,2023-11-17,2024-11-16,new_business,397.96,229.56
PREM000179,POL000279,COV000179,2026-07-02,2027-07-02,endorsement,2171.04,1912.86
PREM000180,POL000280,COV000180,2025-03-24,2026-03-24,endorsement,1743.29,894.06
PREM000181,POL000281,COV000181,2026-02-18,2027-02-18,cancellation,640.54,620.18
PREM000182,POL000282,COV000182,2024-06-04,2025-06-04,audit,2994.27,2704.15
PREM000183,POL000283,COV000183,2024-07-11,2025-07-11,reinstatement,1784.83,1637.37
PREM000184,POL000284,COV000184,2023-03-17,2024-03-16,cancellation,1672.72,1180.78
PREM000185,POL000285,COV000185,2023-05-19,2024-05-18,audit,2804.17,2765.4
PREM000186,POL000286,COV000186,2026-03-23,2027-03-23,new_business,897.05,742.16
PREM000187,POL000287,COV000187,2023-03-06,2024-03-05,renewal,795.42,792.39
PREM000188,POL000288,COV000188,2026-01-13,2027-01-13,audit,2060.91,1504.78
PREM000189,POL000289,COV000189,2023-02-11,2024-02-11,endorsement,1497.82,1459.09
PREM000190,POL000290,COV000190,2025-05-29,2026-05-29,new_business,1128.84,959.4
PREM000191,POL000291,COV000191,2023-11-27,2024-11-26,audit,1326.62,997.11
PREM000192,POL000292,COV000192,2025-07-18,2026-07-18,new_business,1699.5,906.86
PREM000193,POL000293,COV000193,2025-03-03,2026-03-03,cancellation,2638.59,1662.15
PREM000194,POL000294,COV000194,2023-05-24,2024-05-23,cancellation,2583.79,1732.46
PREM000195,POL000295,COV000195,2025-05-09,2026-05-09,cancellation,2654.46,1523.2
PREM000196,POL000296,COV000196,2023-11-24,2024-11-23,new_business,1859.4,1330.34
PREM000197,POL000297,COV000197,2026-04-16,2027-04-16,reinstatement,2578.06,2057.16
PREM000198,POL000298,COV000198,2025-12-29,2026-12-29,endorsement,1085.58,968.96
PREM000199,POL000299,COV000199,2025-04-08,2026-04-08,renewal,780.03,604.91
PREM000200,POL000300,COV000200,2024-11-16,2025-11-16,renewal,2653.23,1712.88
PREM000201,POL000301,COV000201,2024-07-23,2025-07-23,cancellation,760.76,739.33
PREM000202,POL000302,COV000202,2026-03-04,2027-03-04,new_business,1702.85,990.01
PREM000203,POL000303,COV000203,2026-06-28,2027-06-28,audit,1258.3,810.29
PREM000204,POL000304,COV000204,2024-09-17,2025-09-17,endorsement,984.96,913.5
PREM000205,POL000305,COV000205,2025-01-26,2026-01-26,cancellation,2432.23,2149.76
PREM000206,POL000306,COV000206,2025-05-15,2026-05-15,endorsement,2349.39,1780.11
PREM000207,POL000307,COV000207,2026-04-11,2027-04-11,endorsement,325.43,234.35
PREM000208,POL000308,COV000208,2024-11-07,2025-11-07,endorsement,1934.04,1336.39
PREM000209,POL000309,COV000209,2024-06-13,2025-06-13,endorsement,2130.79,2099.83
PREM000210,POL000310,COV000210,2023-08-24,2024-08-23,new_business,593.65,447.21
PREM000211,POL000311,COV000211,2024-10-20,2025-10-20,endorsement,863.53,526.88
PREM000212,POL000312,COV000212,2026-02-21,2027-02-21,endorsement,2332.45,2291.72
PREM000213,POL000313,COV000213,2023-05-03,2024-05-02,cancellation,1457.59,1150.45
PREM000214,POL000314,COV000214,2023-10-20,2024-10-19,audit,2242.68,1603.14
PREM000215,POL000315,COV000215,2026-02-17,2027-02-17,audit,1564.85,1518.98
PREM000216,POL000316,COV000216,2024-04-04,2025-04-04,new_business,2528.12,1806.36
PREM000217,POL000317,COV000217,2023-05-01,2024-04-30,endorsement,406.24,291.99
PREM000218,POL000318,COV000218,2025-03-23,2026-03-23,renewal,2247.96,2126.39
PREM000219,POL000319,COV000219,2025-06-15,2026-06-15,cancellation,1692.19,1486.47
PREM000220,POL000320,COV000220,2025-08-17,2026-08-17,audit,1042.9,567.62
PREM000221,POL000321,COV000221,2024-08-28,2025-08-28,cancellation,466.55,416.34
PREM000222,POL000322,COV000222,2024-08-25,2025-08-25,reinstatement,2425.8,2352.84
PREM000223,POL000323,COV000223,2025-04-13,2026-04-13,renewal,1744.46,1492.28
PREM000224,POL000324,COV000224,2023-03-12,2024-03-11,cancellation,2409.02,1707.93
PREM000225,POL000325,COV000225,2024-04-20,2025-04-20,new_business,1397.68,1138.54
PREM000226,POL000326,COV000226,2023-09-16,2024-09-15,audit,540.99,502.05
PREM000227,POL000327,COV000227,2025-11-15,2026-11-15,reinstatement,1872.11,978.43
PREM000228,POL000328,COV000228,2025-03-11,2026-03-11,new_business,114.66,102.98
PREM000229,POL000329,COV000229,2024-01-14,2025-01-13,new_business,983.1,896.41
PREM000230,POL000330,COV000230,2025-08-23,2026-08-23,endorsement,449.52,415.33
PREM000231,POL000331,COV000231,2025-06-03,2026-06-03,new_business,50.31,40.68
PREM000232,POL000332,COV000232,2023-01-09,2024-01-09,renewal,1430.25,931.98
PREM000233,POL000333,COV000233,2026-03-03,2027-03-03,endorsement,942.45,577.0
PREM000234,POL000334,COV000234,2025-06-08,2026-06-08,reinstatement,1230.15,871.69
PREM000235,POL000335,COV000235,2023-05-19,2024-05-18,reinstatement,990.37,525.79
PREM000236,POL000336,COV000236,2024-01-18,2025-01-17,new_business,2439.3,1255.07
PREM000237,POL000337,COV000237,2026-08-31,2027-08-31,renewal,1726.54,1451.75
PREM000238,POL000338,COV000238,2023-08-14,2024-08-13,reinstatement,1208.64,1149.56
PREM000239,POL000339,COV000239,2025-10-16,2026-10-16,endorsement,1057.48,965.29
PREM000240,POL000340,COV000240,2025-03-27,2026-03-27,audit,1203.81,922.36
PREM000241,POL000341,COV000241,2024-12-04,2025-12-04,reinstatement,2434.52,1779.52
PREM000242,POL000342,COV000242,2026-02-23,2027-02-23,audit,2895.23,2613.04
PREM000243,POL000343,COV000243,2023-02-21,2024-02-21,endorsement,1540.69,1516.79
PREM000244,POL000344,COV000244,2023-06-28,2024-06-27,audit,1762.86,919.93
PREM000245,POL000345,COV000245,2024-02-16,2025-02-15,reinstatement,2972.17,1905.53
PREM000246,POL000346,COV000246,2023-12-20,2024-12-19,reinstatement,2683.84,2476.08
PREM000247,POL000347,COV000247,2025-12-21,2026-12-21,audit,2670.91,1411.97
PREM000248,POL000348,COV000248,2023-11-23,2024-11-22,renewal,2858.58,1896.76
PREM000249,POL000349,COV000249,2025-02-10,2026-02-10,endorsement,1949.69,1078.18
PREM000250,POL000350,COV000250,2024-05-23,2025-05-23,cancellation,159.6,107.73
PREM000251,POL000351,COV000251,2025-07-09,2026-07-09,new_business,2956.55,1817.64
PREM000252,POL000352,COV000252,2025-12-17,2026-12-17,endorsement,311.06,177.05
PREM000253,POL000353,COV000253,2026-02-17,2027-02-17,renewal,831.48,632.08
PREM000254,POL000354,COV000254,2024-05-29,2025-05-29,new_business,1451.89,1193.72
PREM000255,POL000355,COV000255,2025-04-02,2026-04-02,renewal,562.44,519.48
PREM000256,POL000356,COV000256,2023-01-30,2024-01-30,reinstatement,1703.41,1517.51
PREM000257,POL000357,COV000257,2026-05-30,2027-05-30,new_business,1614.6,1249.05
PREM000258,POL000358,COV000258,2023-09-05,2024-09-04,audit,123.5,97.73
PREM000259,POL000359,COV000259,2026-02-06,2027-02-06,new_business,513.86,345.06
PREM000260,POL000360,COV000260,2024-03-29,2025-03-29,audit,1800.95,1345.59
PREM000261,POL000361,COV000261,2026-04-23,2027-04-23,reinstatement,1940.1,1344.51
PREM000262,POL000362,COV000262,2025-04-21,2026-04-21,audit,1517.37,1060.75
PREM000263,POL000363,COV000263,2023-06-03,2024-06-02,renewal,2398.06,1347.83
PREM000264,POL000364,COV000264,2024-06-12,2025-06-12,new_business,896.74,722.56
PREM000265,POL000365,COV000265,2024-01-25,2025-01-24,audit,2439.45,1226.85
PREM000266,POL000366,COV000266,2026-02-20,2027-02-20,cancellation,774.3,592.44
PREM000267,POL000367,COV000267,2023-12-19,2024-12-18,endorsement,1506.22,840.85
PREM000268,POL000368,COV000268,2024-06-15,2025-06-15,cancellation,720.19,450.24
PREM000269,POL000369,COV000269,2023-09-03,2024-09-02,cancellation,263.28,246.65
PREM000270,POL000370,COV000270,2024-03-08,2025-03-08,new_business,571.53,461.89
PREM000271,POL000371,COV000271,2026-03-12,2027-03-12,endorsement,765.78,535.29
PREM000272,POL000372,COV000272,2024-12-21,2025-12-21,audit,2282.12,1903.04
PREM000273,POL000373,COV000273,2024-01-25,2025-01-24,reinstatement,992.23,754.63
PREM000274,POL000374,COV000274,2023-10-30,2024-10-29,cancellation,1363.97,1319.64
PREM000275,POL000375,COV000275,2024-01-17,2025-01-16,new_business,541.16,357.26
PREM000276,POL000376,COV000276,2025-01-13,2026-01-13,reinstatement,2614.23,1489.53
PREM000277,POL000377,COV000277,2023-01-28,2024-01-28,cancellation,1550.81,1387.08
PREM000278,POL000378,COV000278,2025-11-27,2026-11-27,cancellation,1223.21,1043.67
PREM000279,POL000379,COV000279,2026-08-01,2027-08-01,audit,186.6,113.1
PREM000280,POL000380,COV000280,2023-09-13,2024-09-12,audit,291.59,196.9
PREM000281,POL000381,COV000281,2026-06-09,2027-06-09,reinstatement,161.16,118.75
PREM000282,POL000382,COV000282,2025-07-27,2026-07-27,endorsement,2381.14,1348.59
PREM000283,POL000383,COV000283,2023-06-19,2024-06-18,renewal,932.76,886.01
PREM000284,POL000384,COV000284,2024-02-26,2025-02-25,endorsement,288.94,198.03
PREM000285,POL000385,COV000285,2023-03-09,2024-03-08,renewal,963.7,584.5
PREM000286,POL000386,COV000286,2025-10-15,2026-10-15,renewal,1252.46,1217.82
PREM000287,POL000387,COV000287,2023-02-06,2024-02-06,reinstatement,353.31,346.57
PREM000288,POL000388,COV000288,2025-07-20,2026-07-20,reinstatement,1819.94,1780.15
PREM000289,POL000389,COV000289,2024-07-31,2025-07-31,endorsement,1289.7,980.76
PREM000290,POL000390,COV000290,2023-09-11,2024-09-10,audit,2120.31,1810.89
PREM000291,POL000391,COV000291,2026-03-19,2027-03-19,renewal,2797.47,2159.55
PREM000292,POL000392,COV000292,2024-06-10,2025-06-10,cancellation,938.79,606.93
PREM000293,POL000393,COV000293,2023-05-06,2024-05-05,cancellation,469.51,439.95
PREM000294,POL000394,COV000294,2025-08-17,2026-08-17,reinstatement,974.35,648.42
PREM000295,POL000395,COV000295,2025-07-04,2026-07-04,endorsement,297.84,254.25
PREM000296,POL000396,COV000296,2024-01-21,2025-01-20,audit,1159.79,1126.98
PREM000297,POL000397,COV000297,2024-04-07,2025-04-07,new_business,2268.9,1150.11
PREM000298,POL000398,COV000298,2025-10-05,2026-10-05,reinstatement,1201.77,771.96
PREM000299,POL000399,COV000299,2024-11-25,2025-11-25,new_business,1740.3,1699.1
PREM000300,POL000400,COV000300,2024-01-18,2025-01-17,audit,153.67,152.38
PREM000301,POL000401,COV000301,2025-02-14,2026-02-14,cancellation,2275.71,1918.88
PREM000302,POL000402,COV000302,2025-12-30,2026-12-30,renewal,2495.31,2333.93
PREM000303,POL000403,COV000303,2024-08-07,2025-08-07,endorsement,2219.67,1929.93
PREM000304,POL000404,COV000304,2024-09-29,2025-09-29,reinstatement,391.88,334.61
PREM000305,POL000405,COV000305,2024-05-15,2025-05-15,audit,1972.84,1214.81
PREM000306,POL000406,COV000306,2026-08-01,2027-08-01,audit,78.36,76.47
PREM000307,POL000407,COV000307,2026-08-14,2027-08-14,new_business,2247.53,2199.63
PREM000308,POL000408,COV000308,2025-12-11,2026-12-11,new_business,562.14,520.79
PREM000309,POL000409,COV000309,2024-03-16,2025-03-16,audit,1267.58,735.91
PREM000310,POL000410,COV000310,2024-08-18,2025-08-18,renewal,2097.54,1429.66
PREM000311,POL000411,COV000311,2023-05-13,2024-05-12,new_business,1478.99,1065.25
PREM000312,POL000412,COV000312,2026-07-19,2027-07-19,reinstatement,1124.22,1011.78
PREM000313,POL000413,COV000313,2025-10-09,2026-10-09,renewal,852.91,710.4
PREM000314,POL000414,COV000314,2025-02-15,2026-02-15,audit,2742.31,2682.31
PREM000315,POL000415,COV000315,2025-10-07,2026-10-07,cancellation,109.94,89.47
PREM000316,POL000416,COV000316,2023-11-11,2024-11-10,endorsement,2115.51,1063.5
PREM000317,POL000417,COV000317,2023-09-10,2024-09-09,new_business,1462.01,1181.69
PREM000318,POL000418,COV000318,2025-04-15,2026-04-15,audit,61.19,59.54
