payment_id,policy_id,customer_id,payment_date,payment_status,payment_method,billed_amount,paid_amount
PAY000048,POL000148,CUST004604,2025-02-25,reversed,payroll,1793.86,0.0
PAY000049,POL000149,CUST000341,2024-03-16,refunded,wire,1013.17,1013.17
PAY000050,POL000150,CUST001831,2024-10-20,refunded,wire,498.19,498.19
PAY000051,POL000151,CUST000547,2026-02-17,reversed,check,1259.75,1259.75
PAY000052,POL000152,CUST003512,2026-04-08,paid,payroll,1166.48,0.0
PAY000053,POL000153,CUST001832,2024-02-27,scheduled,other,1881.73,1881.73
PAY000054,POL000154,CUST003957,2026-06-05,failed,wire,1282.32,1282.32
PAY000055,POL000155,CUST002671,2025-10-01,failed,ach,1197.53,1197.53
PAY000056,POL000156,CUST002603,2026-01-30,past_due,card,515.85,515.85
PAY000057,POL000157,CUST002059,2025-08-01,paid,check,633.11,633.11
PAY000058,POL000158,CUST003488,2024-08-27,reversed,wire,1022.87,1022.87
PAY000059,POL000159,CUST000411,2025-05-04,reversed,ach,645.11,0.0
PAY000060,POL000160,CUST000477,2026-03-05,paid,other,1785.72,1785.72
PAY000061,POL000161,CUST004832,2025-07-21,past_due,other,1538.8,0.0
PAY000062,POL000162,CUST002230,2024-11-11,paid,check,330.27,330.27
PAY000063,POL000163,CUST004225,2024-02-23,paid,payroll,534.92,534.92
PAY000064,POL000164,CUST002585,2026-02-08,refunded,ach,628.31,628.31
PAY000065,POL000165,CUST000456,2024-06-02,paid,payroll,174.92,174.92
PAY000066,POL000166,CUST002111,2025-12-23,scheduled,payroll,1937.07,0.0
PAY000067,POL000167,CUST003293,2024-11-17,paid,ach,338.92,338.92
PAY000068,POL000168,CUST002264,2024-07-01,paid,wire,75.33,75.33
PAY000069,POL000169,CUST003097,2025-08-19,paid,ach,1349.85,1349.85
PAY000070,POL000170,CUST000109,2024-03-16,paid,ach,1939.87,1939.87
PAY000071,POL000171,CUST001435,2025-12-06,paid,other,953.11,0.0
PAY000072,POL000172,CUST002895,2025-12-09,paid,other,75.81,75.81
PAY000073,POL000173,CUST002316,2024-06-24,reversed,payroll,424.32,424.32
PAY000074,POL000174,CUST001870,2024-02-01,paid,check,521.4,0.0
PAY000075,POL000175,CUST003431,2025-01-08,reversed,payroll,1049.5,1049.5
PAY000076,POL000176,CUST004290,2024-08-26,refunded,card,1657.34,1657.34
PAY000077,POL000177,CUST001741,2024-02-04,paid,cash,248.11,248.11
PAY000078,POL000178,CUST002378,2026-03-09,scheduled,other,1146.39,1146.39
PAY000079,POL000179,CUST001611,2024-11-29,paid,ach,1289.85,0.0
PAY000080,POL000180,CUST003668,2025-05-06,failed,check,571.78,571.78
PAY000081,POL000181,CUST001367,2026-05-17,paid,card,1463.84,1463.84
PAY000082,POL000182,CUST004514,2024-10-11,failed,check,1565.91,1565.91
PAY000083,POL000183,CUST003850,2026-05-05,paid,check,1625.61,1625.61
PAY000084,POL000184,CUST003706,2026-08-20,paid,check,630.93,0.0
PAY000085,POL000185,CUST001105,2026-06-11,paid,wire,247.01,247.01
PAY000086,POL000186,CUST003637,2024-10-01,past_due,payroll,875.13,875.13
PAY000087,POL000187,CUST001522,2024-04-16,paid,card,1280.27,1280.27
PAY000088,POL000188,CUST004005,2024-12-29,paid,wire,1249.55,1249.55
PAY000089,POL000189,CUST004892,2024-10-02,paid,wire,1097.63,0.0
PAY000090,POL000190,CUST003813,2025-05-16,paid,cash,356.46,0.0
PAY000091,POL000191,CUST002120,2024-08-10,paid,cash,434.31,434.31
PAY000092,POL000192,CUST003708,2024-02-02,paid,payroll,488.02,488.02
PAY000093,POL000193,CUST002435,2025-12-13,scheduled,ach,1993.72,1993.72
PAY000094,POL000194,CUST003435,2025-01-25,refunded,ach,890.02,890.02
PAY000095,POL000195,CUST002993,2024-11-14,refunded,ach,431.38,431.38
PAY000096,POL000196,CUST003903,2026-06-25,paid,cash,1573.78,1573.78
PAY000097,POL000197,CUST003768,2024-04-10,past_due,check,1845.63,1845.63
PAY000098,POL000198,CUST000494,2025-07-25,failed,card,1759.38,1759.38
PAY000099,POL000199,CUST001717,2024-05-26,paid,check,1466.07,1466.07
PAY000100,POL000200,CUST001454,2025-03-08,reversed,other,497.95,0.0
PAY000101,POL000201,CUST002452,2026-06-11,paid,cash,225.12,225.12
PAY000102,POL000202,CUST004428,2025-08-31,paid,cash,59.83,59.83
PAY000103,POL000203,CUST002630,2025-10-12,refunded,wire,1046.51,1046.51
PAY000104,POL000204,CUST004346,2024-01-11,past_due,ach,1566.19,1566.19
PAY000105,POL000205,CUST001660,2025-08-15,scheduled,other,1576.4,0.0
PAY000106,POL000206,CUST003093,2026-04-06,refunded,cash,1465.56,0.0
PAY000107,POL000207,CUST004189,2024-06-30,paid,payroll,1216.3,1216.3
PAY000108,POL000208,CUST002056,2024-06-20,refunded,other,278.88,278.88
PAY000109,POL000209,CUST000202,2026-06-13,past_due,other,1577.04,1577.04
PAY000110,POL000210,CUST003637,2025-05-14,paid,other,135.92,135.92
PAY000111,POL000211,CUST001551,2024-03-06,past_due,payroll,843.78,843.78
PAY000112,POL000212,CUST001440,2025-07-20,scheduled,wire,1680.87,0.0
PAY000113,POL000213,CUST003210,2024-03-27,refunded,check,1745.18,1745.18
PAY000114,POL000214,CUST000777,2024-12-16,reversed,wire,492.31,492.31
PAY000115,POL000215,CUST004417,2024-05-09,refunded,card,1246.05,1246.05
PAY000116,POL000216,CUST001959,2026-01-13,paid,wire,1128.38,1128.38
PAY000117,POL000217,CUST001841,2024-12-29,scheduled,card,1730.27,1730.27
PAY000118,POL000218,CUST002674,2024-01-17,past_due,ach,932.58,932.58
PAY000119,POL000219,CUST004479,2024-05-29,paid,other,1285.69,1285.69
PAY000120,POL000220,CUST004127,2026-02-12,past_due,wire,1934.71,1934.71
PAY000121,POL000221,CUST003004,2025-02-11,past_due,ach,267.33,0.0
PAY000122,POL000222,CUST004393,2025-01-24,paid,ach,1098.59,0.0
PAY000123,POL000223,CUST003168,2024-06-29,past_due,ach,362.81,362.81
PAY000124,POL000224,CUST000167,2025-02-05,paid,card,1101.18,1101.18
PAY000125,POL000225,CUST002372,2026-09-09,paid,card,211.94,0.0
PAY000126,POL000226,CUST002000,2025-08-26,scheduled,payroll,1881.34,1881.34
PAY000127,POL000227,CUST003229,2025-11-10,scheduled,ach,1697.08,1697.08
PAY000128,POL000228,CUST003320,2024-10-02,failed,card,357.8,357.8
PAY000129,POL000229,CUST004093,2026-05-29,paid,check,1522.17,0.0
PAY000130,POL000230,CUST001963,2026-02-22,paid,payroll,1206.95,0.0
PAY000131,POL000231,CUST000779,2024-10-10,paid,ach,158.09,0.0
PAY000132,POL000232,CUST003536,2026-09-09,paid,check,782.48,0.0
PAY000133,POL000233,CUST002507,2026-01-25,paid,payroll,402.22,402.22
PAY000134,POL000234,CUST003100,2024-03-24,paid,card,1176.85,0.0
PAY000135,POL000235,CUST004190,2026-08-17,scheduled,wire,874.32,874.32
PAY000136,POL000236,CUST003397,2026-03-24,paid,cash,1710.49,1710.49
PAY000137,POL000237,CUST000051,2024-02-10,paid,payroll,93.63,93.63
PAY000138,POL000238,CUST002749,2024-06-21,refunded,cash,1917.71,1917.71
PAY000139,POL000239,CUST001099,2025-10-16,paid,card,737.52,737.52
PAY000140,POL000240,CUST004028,2024-08-13,paid,payroll,1011.39,1011.39
PAY000141,POL000241,CUST001810,2026-01-11,failed,check,791.87,791.87
PAY000142,POL000242,CUST002244,2024-11-30,failed,ach,1680.66,1680.66
PAY000143,POL000243,CUST002083,2024-02-29,failed,payroll,908.18,908.18
PAY000144,POL000244,CUST000126,2025-05-14,paid,cash,585.59,585.59
PAY000145,POL000245,CUST001998,2026-05-27,paid,card,688.97,688.97
PAY000146,POL000246,CUST003554,2024-10-23,reversed,other,965.89,965.89
PAY000147,POL000247,CUST001632,2024-05-11,failed,payroll,1045.39,0.0
PAY000148,POL000248,CUST002596,2025-04-13,paid,ach,167.97,167.97
PAY000149,POL000249,CUST002398,2024-03-22,paid,other,474.14,474.14
PAY000150,POL000250,CUST001474,2024-12-21,scheduled,cash,616.77,616.77
PAY000151,POL000251,CUST004805,2026-02-21,reversed,payroll,1004.92,0.0
PAY000152,POL000252,CUST004486,2026-09-01,paid,other,1158.62,1158.62
PAY000153,POL000253,CUST000373,2026-06-10,reversed,wire,253.86,253.86
PAY000154,POL000254,CUST001114,2026-06-15,paid,cash,363.67,0.0
PAY000155,POL000255,CUST002024,2024-11-25,paid,check,1206.91,1206.91
PAY000156,POL000256,CUST004919,2025-03-27,paid,wire,1876.05,1876.05
PAY000157,POL000257,CUST002423,2026-09-04,paid,cash,890.79,0.0
PAY000158,POL000258,CUST001725,2025-04-02,scheduled,payroll,1174.35,1174.35
PAY000159,POL000259,CUST004298,2024-08-04,paid,card,191.54,0.0
PAY000160,POL000260,CUST002087,2026-02-03,refunded,ach,1494.98,1494.98
PAY000161,POL000261,CUST004840,2025-02-21,paid,cash,520.86,520.86
PAY000162,POL000262,CUST000469,2024-08-12,paid,check,52.55,52.55
PAY000163,POL000263,CUST000228,2024-10-25,past_due,check,325.3,0.0
PAY000164,POL000264,CUST001396,2024-07-04,failed,other,1210.01,0.0
PAY000165,POL000265,CUST003855,2024-05-27,paid,other,422.51,0.0
PAY000166,POL000266,CUST003969,2025-05-29,scheduled,wire,456.88,456.88
PAY000167,POL000267,CUST004325,2025-02-07,reversed,card,472.78,472.78
PAY000168,POL000268,CUST003988,2025-04-15,failed,check,431.23,0.0
PAY000169,POL000269,CUST003317,2026-07-17,failed,wire,126.65,126.65
PAY000170,POL000270,CUST000476,2025-06-30,scheduled,payroll,1508.77,0.0
PAY000171,POL000271,CUST000866,2024-03-09,failed,other,1973.47,1973.47
PAY000172,POL000272,CUST001261,2026-01-20,reversed,cash,533.94,533.94
PAY000173,POL000273,CUST001770,2025-10-13,paid,ach,71.39,71.39
PAY000174,POL000274,CUST004979,2024-08-26,scheduled,card,490.55,490.55
PAY000175,POL000275,CUST003528,2026-01-12,paid,wire,1558.4,1558.4
PAY000176,POL000276,CUST000809,2025-12-08,paid,card,1124.17,1124.17
PAY000177,POL000277,CUST001225,2025-07-10,reversed,cash,690.26,690.26
PAY000178,POL000278,CUST003158,2025-12-20,reversed,other,904.18,904.18
PAY000179,POL000279,CUST001804,2024-03-15,paid,ach,413.1,413.1
PAY000180,POL000280,CUST003004,2025-06-24,paid,wire,898.0,898.0
PAY000181,POL000281,CUST001542,2024-07-01,paid,cash,209.72,209.72
PAY000182,POL000282,CUST000248,2025-04-09,paid,other,57.45,57.45
PAY000183,POL000283,CUST002496,2026-06-01,refunded,ach,1930.59,1930.59
PAY000184,POL000284,CUST003683,2024-10-21,paid,cash,1100.75,0.0
PAY000185,POL000285,CUST003417,2026-02-05,scheduled,check,1708.81,1708.81
PAY000186,POL000286,CUST003190,2025-02-14,scheduled,ach,1515.08,1515.08
PAY000187,POL000287,CUST003154,2026-07-06,past_due,other,1287.96,0.0
PAY000188,POL000288,CUST003852,2026-06-19,past_due,ach,135.77,135.77
PAY000189,POL000289,CUST004251,2025-12-12,reversed,card,1829.64,0.0
PAY000190,POL000290,CUST004071,2025-07-27,scheduled,payroll,1424.82,1424.82
PAY000191,POL000291,CUST000260,2024-07-27,paid,ach,1941.58,1941.58
PAY000192,POL000292,CUST004148,2025-07-03,paid,wire,1650.55,1650.55
PAY000193,POL000293,CUST004721,2025-12-24,paid,check,1918.45,1918.45
PAY000194,POL000294,CUST003361,2024-10-10,refunded,ach,342.24,0.0
PAY000195,POL000295,CUST002719,2024-11-18,refunded,check,1438.13,1438.13
PAY000196,POL000296,CUST003155,2024-02-16,paid,wire,1535.62,1535.62
PAY000197,POL000297,CUST001177,2025-04-26,paid,card,659.69,659.69
PAY000198,POL000298,CUST004606,2025-08-12,paid,payroll,593.46,593.46
PAY000199,POL000299,CUST004772,2026-05-27,reversed,cash,309.74,309.74
PAY000200,POL000300,CUST002849,2024-07-25,past_due,payroll,209.49,0.0
PAY000201,POL000301,CUST001859,2025-04-20,past_due,card,306.75,306.75
PAY000202,POL000302,CUST004339,2026-06-16,reversed,cash,1799.31,1799.31
PAY000203,POL000303,CUST001010,2025-06-06,past_due,other,1716.37,1716.37
PAY000204,POL000304,CUST000783,2026-09-06,paid,check,1231.25,0.0
PAY000205,POL000305,CUST002227,2025-02-26,paid,cash,1617.02,1617.02
PAY000206,POL000306,CUST001008,2024-11-22,paid,ach,1039.76,1039.76
PAY000207,POL000307,CUST004975,2026-02-05,refunded,ach,1599.44,0.0
PAY000208,POL000308,CUST004603,2025-03-13,reversed,other,1324.13,1324.13
PAY000209,POL000309,CUST001689,2025-05-11,past_due,cash,1570.45,1570.45
PAY000210,POL000310,CUST004909,2024-06-14,paid,check,1327.39,1327.39
PAY000211,POL000311,CUST003368,2026-02-28,paid,wire,1762.19,0.0
PAY000212,POL000312,CUST003001,2025-02-16,failed,cash,1491.44,1491.44
PAY000213,POL000313,CUST003968,2025-11-28,reversed,other,353.44,0.0
PAY000214,POL000314,CUST004809,2024-10-21,scheduled,other,1134.38,0.0
PAY000215,POL000315,CUST004060,2024-07-15,refunded,check,1910.02,1910.02
PAY000216,POL000316,CUST000876,2025-08-16,reversed,payroll,1214.32,1214.32
PAY000217,POL000317,CUST001293,2026-02-21,paid,payroll,1759.04,1759.04
PAY000218,POL000318,CUST000816,2024-07-27,paid,cash,1450.63,1450.63
PAY000219,POL000319,CUST003935,2026-04-16,past_due,wire,1313.23,1313.23
PAY000220,POL000320,CUST004716,2025-07-27,reversed,check,586.27,0.0
PAY000221,POL000321,CUST002669,2026-01-05,paid,other,985.35,985.35
PAY000222,POL000322,CUST004977,2025-07-29,paid,ach,339.7,339.7
PAY000223,POL000323,CUST003991,2024-02-04,paid,check,1089.62,1089.62
PAY000224,POL000324,CUST001376,2024-03-30,failed,other,1138.38,1138.38
PAY000225,POL000325,CUST000589,2024-08-26,refunded,check,1247.29,0.0
PAY000226,POL000326,CUST003449,2024-10-16,reversed,wire,827.78,827.78
PAY000227,POL000327,CUST003146,2024-06-04,failed,payroll,532.41,532.41
PAY000228,POL000328,CUST003571,2026-05-26,failed,cash,921.37,921.37
PAY000229,POL000329,CUST002875,2024-10-12,paid,check,1398.64,0.0
PAY000230,POL000330,CUST000242,2026-06-03,failed,other,1315.95,1315.95
PAY000231,POL000331,CUST000455,2024-08-21,scheduled,check,645.2,645.2
PAY000232,POL000332,CUST002646,2026-05-28,reversed,cash,516.4,0.0
PAY000233,POL000333,CUST000934,2026-03-04,paid,cash,1641.11,1641.11
PAY000234,POL000334,CUST001366,2024-06-23,refunded,other,1535.66,1535.66
PAY000235,POL000335,CUST000099,2026-05-21,refunded,other,698.69,698.69
PAY000236,POL000336,CUST002728,2024-02-15,paid,card,815.78,815.78
PAY000237,POL000337,CUST003634,2025-07-21,scheduled,card,1644.46,1644.46
PAY000238,POL000338,CUST003050,2025-05-29,paid,check,1823.38,1823.38
PAY000239,POL000339,CUST002850,2026-05-12,paid,cash,1216.86,0.0
PAY000240,POL000340,CUST003060,2024-08-30,paid,wire,1847.33,1847.33
PAY000241,POL000341,CUST001038,2025-07-27,paid,check,844.12,844.12
PAY000242,POL000342,CUST001420,2025-06-05,past_due,cash,1205.05,1205.05
PAY000243,POL000343,CUST002020,2026-03-11,reversed,check,1806.41,1806.41
PAY000244,POL000344,CUST002834,2025-04-20,paid,check,827.24,827.24
PAY000245,POL000345,CUST002976,2024-09-30,failed,payroll,1681.27,1681.27
PAY000246,POL000346,CUST002741,2024-09-25,reversed,wire,1209.96,1209.96
PAY000247,POL000347,CUST002058,2026-09-09,reversed,payroll,898.54,898.54
PAY000248,POL000348,CUST004035,2026-09-07,refunded,cash,480.11,0.0
PAY000249,POL000349,CUST000731,2025-07-18,paid,card,1358.19,0.0
PAY000250,POL000350,CUST003536,2026-03-29,failed,other,192.74,192.74
PAY000251,POL000351,CUST002144,2025-08-02,failed,cash,260.01,260.01
PAY000252,POL000352,CUST000020,2026-08-12,paid,check,1668.19,0.0
PAY000253,POL000353,CUST003627,2025-01-08,paid,payroll,372.8,372.8
PAY000254,POL000354,CUST004552,2026-07-14,paid,card,1397.78,1397.78
PAY000255,POL000355,CUST000979,2024-08-27,paid,cash,1917.33,1917.33
PAY000256,POL000356,CUST004928,2024-07-07,reversed,payroll,1005.95,1005.95
PAY000257,POL000357,CUST004439,2024-06-18,paid,card,824.11,0.0
PAY000258,POL000358,CUST004161,2025-06-14,paid,check,1879.69,1879.69
PAY000259,POL000359,CUST000207,2024-07-11,paid,wire,227.94,227.94
PAY000260,POL000360,CUST000396,2024-11-21,paid,other,1384.64,1384.64
PAY000261,POL000361,CUST003540,2025-08-16,refunded,check,1528.25,1528.25
PAY000262,POL000362,CUST001933,2024-03-29,past_due,card,646.58,0.0
PAY000263,POL000363,CUST001124,2025-04-24,failed,card,748.46,748.46
PAY000264,POL000364,CUST003671,2025-12-28,scheduled,ach,1766.78,1766.78
PAY000265,POL000365,CUST002841,2024-03-30,past_due,payroll,113.84,113.84
PAY000266,POL000366,CUST002192,2026-02-09,refunded,ach,671.59,671.59
PAY000267,POL000367,CUST002630,2025-02-23,paid,wire,646.31,0.0
PAY000268,POL000368,CUST001836,2026-07-29,reversed,cash,876.6,876.6
PAY000269,POL000369,CUST002900,2026-02-24,past_due,cash,1694.99,0.0
PAY000270,POL000370,CUST004197,2024-02-10,scheduled,payroll,533.22,533.22
PAY000271,POL000371,CUST002484,2026-06-21,paid,cash,269.57,0.0
PAY000272,POL000372,CUST000823,2024-07-26,refunded,other,1543.51,0.0
PAY000273,POL000373,CUST004617,2024-08-16,paid,payroll,1185.0,1185.0
PAY000274,POL000374,CUST001853,2024-12-16,reversed,wire,1798.13,1798.13
PAY000275,POL000375,CUST003159,2024-09-29,reversed,payroll,1792.87,1792.87
PAY000276,POL000376,CUST004658,2025-03-18,paid,check,1792.06,1792.06
PAY000277,POL000377,CUST000972,2025-03-28,past_due,ach,1391.99,1391.99
PAY000278,POL000378,CUST002011,2026-06-15,past_due,ach,200.02,200.02
PAY000279,POL000379,CUST002288,2026-03-11,refunded,other,1206.24,1206.24
PAY000280,POL000380,CUST004471,2026-04-14,past_due,other,1491.51,1491.51
PAY000281,POL000381,CUST003139,2025-07-11,refunded,ach,1157.53,1157.53
PAY000282,POL000382,CUST004899,2025-01-05,paid,payroll,1903.96,1903.96
PAY000283,POL000383,CUST003395,2025-06-18,paid,other,330.06,330.06
PAY000284,POL000384,CUST002084,2024-03-07,refunded,payroll,324.67,324.67
PAY000285,POL000385,CUST003853,2025-11-09,paid,ach,371.65,371.65
PAY000286,POL000386,CUST000146,2024-04-26,failed,cash,552.58,552.58
PAY000287,POL000387,CUST004621,2025-07-21,reversed,card,1693.96,1693.96
PAY000288,POL000388,CUST004681,2026-01-10,past_due,check,1450.43,1450.43
PAY000289,POL000389,CUST002274,2025-09-25,scheduled,check,218.28,218.28
PAY000290,POL000390,CUST001778,2024-04-29,paid,cash,1064.62,1064.62
PAY000291,POL000391,CUST003498,2025-08-13,refunded,cash,1459.31,0.0
PAY000292,POL000392,CUST003985,2025-02-23,paid,other,1184.34,1184.34
PAY000293,POL000393,CUST000800,2026-08-23,scheduled,wire,1049.98,1049.98
PAY000294,POL000394,CUST002051,2026-05-21,scheduled,payroll,1687.08,1687.08
PAY000295,POL000395,CUST000696,2024-08-28,paid,check,334.25,334.25
PAY000296,POL000396,CUST002833,2026-04-07,refunded,ach,1295.27,0.0
PAY000297,POL000397,CUST002659,2025-02-19,paid,cash,991.99,0.0
PAY000298,POL000398,CUST001050,2026-01-10,scheduled,payroll,1045.43,0.0
PAY000299,POL000399,CUST002067,2025-07-05,past_due,payroll,1634.78,1634.78
PAY000300,POL000400,CUST004270,2025-01-26,paid,cash,181.71,181.71
PAY000301,POL000401,CUST003539,2025-12-09,paid,cash,525.45,525.45
PAY000302,POL000402,CUST003246,2026-06-11,past_due,wire,1956.46,1956.46
PAY000303,POL000403,CUST001445,2024-01-08,past_due,other,407.17,407.17
PAY000304,POL000404,CUST004121,2024-09-02,failed,cash,411.98,411.98
PAY000305,POL000405,CUST003141,2024-01-06,paid,wire,1091.63,1091.63
PAY000306,POL000406,CUST001978,2026-06-28,past_due,ach,1630.36,0.0
PAY000307,POL000407,CUST000666,2025-03-07,scheduled,card,1101.48,0.0
PAY000308,POL000408,CUST003647,2024-05-16,paid,ach,983.93,0.0
PAY000309,POL000409,CUST004666,2026-03-26,reversed,ach,1112.44,1112.44
PAY000310,POL000410,CUST004704,2025-06-08,paid,payroll,1917.69,1917.69
PAY000311,POL000411,CUST004799,2024-02-21,scheduled,other,1257.84,1257.84
PAY000312,POL000412,CUST003590,2024-03-31,scheduled,other,925.58,925.58
PAY000313,POL000413,CUST002301,2026-01-18,past_due,cash,1284.12,1284.12
PAY000314,POL000414,CUST001612,2024-06-18,paid,payroll,276.76,276.76
PAY000315,POL000415,CUST004610,2024-04-10,paid,wire,1405.11,1405.11
PAY000316,POL000416,CUST004539,2026-09-11,paid,check,1725.4,0.0
PAY000317,POL000417,CUST004507,2024-08-07,paid,check,274.03,0.0
PAY000318,POL000418,CUST002094,2024-08-19,paid,card,51.9,51.9
PAY000319,POL000419,CUST002620,2025-05-16,paid,wire,1125.73,1125.73
PAY000320,POL000420,CUST004774,2026-01-16,scheduled,ach,1952.91,1952.91
PAY000321,POL000421,CUST000115,2024-01-25,failed,payroll,428.4,428.4
PAY000322,POL000422,CUST002893,2024-02-11,paid,cash,874.58,874.58
PAY000323,POL000423,CUST001430,2026-02-11,reversed,cash,1146.41,1146.41
PAY000324,POL000424,CUST001053,2024-02-08,past_due,wire,559.22,559.22
PAY000325,POL000425,CUST002829,2024-04-20,paid,other,867.55,867.55
PAY000326,POL000426,CUST000524,2024-07-24,paid,wire,353.62,353.62
PAY000327,POL000427,CUST001926,2024-02-11,paid,check,1319.59,1319.59
PAY000328,POL000428,CUST004078,2025-12-04,paid,ach,1876.6,1876.6
PAY000329,POL000429,CUST002743,2025-03-10,refunded,card,239.93,239.93
PAY000330,POL000430,CUST004836,2025-08-01,past_due,payroll,536.8,536.8
PAY000331,POL000431,CUST000615,2025-05-27,refunded,card,1361.38,1361.38
PAY000332,POL000432,CUST003383,2026-04-09,reversed,ach,1421.2,1421.2
PAY000333,POL000433,CUST003231,2024-03-19,reversed,cash,449.07,0.0
PAY000334,POL000434,CUST002237,2026-06-07,scheduled,other,1702.93,1702.93
PAY000335,POL000435,CUST001887,2025-12-05,failed,card,1373.59,0.0
PAY000336,POL000436,CUST000414,2025-08-06,paid,card,1697.0,0.0
PAY000337,POL000437,CUST004693,2024-06-17,paid,ach,1411.35,1411.35
PAY000338,POL000438,CUST003111,2025-10-07,scheduled,other,906.75,906.75
PAY000339,POL000439,CUST000767,2025-06-01,past_due,payroll,1695.22,1695.22
PAY000340,POL000440,CUST002438,2024-05-31,past_due,cash,410.72,410.72
PAY000341,POL000441,CUST000590,2026-05-13,reversed,check,1901.45,1901.45
PAY000342,POL000442,CUST001938,2024-07-23,past_due,cash,1378.5,1378.5
PAY000343,POL000443,CUST002443,2025-12-16,paid,other,112.44,0.0
PAY000344,POL000444,CUST000522,2026-04-15,paid,payroll,1004.04,1004.04
PAY000345,POL000445,CUST000136,2025-02-01,failed,wire,58.27,58.27
PAY000346,POL000446,CUST000968,2025-01-24,past_due,ach,1807.76,0.0
PAY000347,POL000447,CUST003649,2026-02-17,refunded,card,284.01,284.01
PAY000348,POL000448,CUST004108,2024-10-02,paid,ach,1243.77,1243.77
PAY000349,POL000449,CUST001601,2024-10-23,refunded,cash,971.02,971.02
PAY000350,POL000450,CUST002990,2025-05-08,paid,payroll,175.27,175.27
PAY000351,POL000451,CUST004880,2024-04-27,paid,ach,1910.19,1910.19
PAY000352,POL000452,CUST000502,2025-09-04,paid,payroll,341.43,341.43
PAY000353,POL000453,CUST001493,2026-01-15,reversed,ach,1720.53,0.0
